AnnotationAccession,SeqID,SeqType,PIRAReadCount,replicon_length,PIRASequencingCoverage,PIRALongestRepliconCoverage,PIRACopyNumber,InitialReadCount,AdditionalReadCount,InitialCopyNumberEstimate,RepliconDNAContent,Organism,Strain,TaxonomicGroup,TaxonomicSubgroup,host,isolation_source,Annotation,Genus,max_replicon_length,normalized_replicon_length
GCF_001692655.1_ASM169265v1,NZ_CP016581.1,chromosome,18719631,4747526,3.943028643,3.943028643,1,18719631,0,1,4747526,Salmonella enterica subsp. enterica serovar Heidelberg,SH14-009,Pseudomonadota,Gammaproteobacteria,Homo sapiens,human,Humans,Salmonella,4747526,1
GCF_001692655.1_ASM169265v1,NZ_CP016582.1,plasmid,1607187,2094,767.5200573,3.943028643,194.6524174,1607187,0,194.6524174,407602.1621,Salmonella enterica subsp. enterica serovar Heidelberg,SH14-009,Pseudomonadota,Gammaproteobacteria,Homo sapiens,human,Humans,Salmonella,4747526,0.000441072
GCF_001692655.1_ASM169265v1,NZ_CP016583.1,plasmid,366557,37697,9.723771122,3.943028643,2.466066571,366557,0,2.466066571,92963.31151,Salmonella enterica subsp. enterica serovar Heidelberg,SH14-009,Pseudomonadota,Gammaproteobacteria,Homo sapiens,human,Humans,Salmonella,4747526,0.007940346
GCF_001692655.1_ASM169265v1,NZ_CP016584.1,plasmid,496419,6647,74.68316534,3.943028643,18.94055867,496419,0,18.94055867,125897.8935,Salmonella enterica subsp. enterica serovar Heidelberg,SH14-009,Pseudomonadota,Gammaproteobacteria,Homo sapiens,human,Humans,Salmonella,4747526,0.001400098
GCF_001692655.1_ASM169265v1,NZ_CP016585.1,plasmid,883118,99473,8.877966885,3.943028643,2.251560333,883118,0,2.251560333,223969.461,Salmonella enterica subsp. enterica serovar Heidelberg,SH14-009,Pseudomonadota,Gammaproteobacteria,Homo sapiens,human,Humans,Salmonella,4747526,0.020952597
GCF_003071285.1_ASM307128v1,NZ_CP028951.1,chromosome,2943709,5086051,0.578780866,0.578780866,1,2943709,0,1,5086051,Klebsiella aerogenes,AR_0161,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Klebsiella,5086051,1
GCF_003071285.1_ASM307128v1,NZ_CP028952.1,plasmid,518845,451422,1.149356921,0.578780866,1.985823978,518845,0,1.985823978,896444.632,Klebsiella aerogenes,AR_0161,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Klebsiella,5086051,0.088756876
GCF_000017425.1_ASM1742v1,NC_009674.1,chromosome,2126247,4087024,0.520243336,0.520243336,1,2126247,0,1,4087024,Bacillus cytotoxicus NVH 391-98,NVH 391-98,Terrabacteria group,Bacillota,NA,NA,Unannotated,Bacillus,4087024,1
GCF_000017425.1_ASM1742v1,NC_009673.1,plasmid,64431,7135,9.030273301,0.520243336,17.35778755,64431,0,17.35778755,123847.8142,Bacillus cytotoxicus NVH 391-98,NVH 391-98,Terrabacteria group,Bacillota,NA,NA,Unannotated,Bacillus,4087024,0.001745769
GCF_030020705.1_ASM3002070v1,NZ_CP124923.1,chromosome,1617886,2950886,0.548271265,0.548271265,1,1617886,0,1,2950886,Enterococcus faecalis,EfsC11,Terrabacteria group,Bacillota,Homo sapiens,urine,Humans,Enterococcus,2950886,1
GCF_030020705.1_ASM3002070v1,NZ_CP124924.1,plasmid,49780,53892,0.92369925,0.548271265,1.684748608,49780,0,1.684748608,90794.47197,Enterococcus faecalis,EfsC11,Terrabacteria group,Bacillota,Homo sapiens,urine,Humans,Enterococcus,2950886,0.018262989
GCF_037482175.1_Halobacterium_salinarum_KBTZ02,NZ_CP148056.1,chromosome,7332687,1959251,3.742597043,3.742597043,1,7332687,0,1,1959251,Halobacterium salinarum,-,Euryarchaeota,Stenosarchaea group,NA,Hypersaline lake,Earth,Halobacterium,1959251,1
GCF_037482175.1_Halobacterium_salinarum_KBTZ02,NZ_CP148057.1,plasmid,116376,286683,0.405939662,3.742597043,0.108464699,116376,0,0.108464699,31094.98529,Halobacterium salinarum,-,Euryarchaeota,Stenosarchaea group,NA,Hypersaline lake,Earth,Halobacterium,1959251,0.146322753
GCF_037482175.1_Halobacterium_salinarum_KBTZ02,NZ_CP148058.1,plasmid,839344,37982,22.0984677,3.742597043,5.904581081,839344,0,5.904581081,224267.7986,Halobacterium salinarum,-,Euryarchaeota,Stenosarchaea group,NA,Hypersaline lake,Earth,Halobacterium,1959251,0.01938598
GCF_013745515.1_ASM1374551v1,NZ_CP056165.1,chromosome,4950068,4754030,1.041236172,1.041236172,1,4950068,0,1,4754030,Escherichia marmotae,RHBSTW-00777,Pseudomonadota,Gammaproteobacteria,NA,Freshwater sample from upstream of wastewater treatment plant,Human-impacted,Escherichia,4754030,1
GCF_013745515.1_ASM1374551v1,NZ_CP056166.1,plasmid,192234,87925,2.186340631,1.041236172,2.099754781,192234,0,2.099754781,184620.9392,Escherichia marmotae,RHBSTW-00777,Pseudomonadota,Gammaproteobacteria,NA,Freshwater sample from upstream of wastewater treatment plant,Human-impacted,Escherichia,4754030,0.018494835
GCF_013745515.1_ASM1374551v1,NZ_CP056167.1,plasmid,123890,46003,2.693085234,1.041236172,2.58643073,123890,0,2.58643073,118983.5729,Escherichia marmotae,RHBSTW-00777,Pseudomonadota,Gammaproteobacteria,NA,Freshwater sample from upstream of wastewater treatment plant,Human-impacted,Escherichia,4754030,0.009676632
GCF_005082585.1_ASM508258v1,NZ_CP034855.1,chromosome,1147360,636177,1.803523233,1.803523233,1,1147360,0,1,636177,Buchnera aphidicola (Sitobion avenae),Sav,Pseudomonadota,Gammaproteobacteria,Sitobion avenae,air,Animals,Buchnera,636177,1
GCF_005082585.1_ASM508258v1,NZ_CP034856.1,plasmid,17871,7716,2.316096423,1.803523233,1.284206591,17871,0,1.284206591,9908.938055,Buchnera aphidicola (Sitobion avenae),Sav,Pseudomonadota,Gammaproteobacteria,Sitobion avenae,air,Animals,Buchnera,636177,0.0121287
GCF_005082585.1_ASM508258v1,NZ_CP034857.1,plasmid,10201,3671,2.778806865,1.803523233,1.540765771,10201,0,1.540765771,5656.151144,Buchnera aphidicola (Sitobion avenae),Sav,Pseudomonadota,Gammaproteobacteria,Sitobion avenae,air,Animals,Buchnera,636177,0.005770407
GCF_026210615.1_ASM2621061v1,NZ_CP110211.1,chromosome,20361383,1160701,17.54231538,17.54231538,1,20361383,0,1,1160701,Chlamydia psittaci,BF_amazon_parrot_13,PVC group,Chlamydiota,Amazona aestiva,feces,Animals,Chlamydia,1160701,1
GCF_026210615.1_ASM2621061v1,NZ_CP110212.1,plasmid,226188,7553,29.94677612,17.54231538,1.707116505,226188,0,1.707116505,12893.85096,Chlamydia psittaci,BF_amazon_parrot_13,PVC group,Chlamydiota,Amazona aestiva,feces,Animals,Chlamydia,1160701,0.006507274
GCF_034356035.1_ASM3435603v1,NZ_CP136423.1,chromosome,1513310,3590609,0.421463323,0.421463323,1,1513310,0,1,3590609,Blautia hydrogenotrophica DSM 10507,DSM 10507,Terrabacteria group,Bacillota,NA,human feces,Humans,Blautia,3590609,1
GCF_034356035.1_ASM3435603v1,NZ_CP136424.1,plasmid,87793,7176,12.23425307,0.421463323,29.02803733,87793,0,29.02803733,208305.1959,Blautia hydrogenotrophica DSM 10507,DSM 10507,Terrabacteria group,Bacillota,NA,human feces,Humans,Blautia,3590609,0.001998547
GCF_030644305.1_ASM3064430v1,NZ_CP129209.1,chromosome,2680308,4894501,0.547616192,0.547616192,1,2680308,0,1,4894501,Salmonella enterica subsp. enterica serovar Typhimurium,HS_180Salm,Pseudomonadota,Gammaproteobacteria,NA,Oyster,Animals,Salmonella,4894501,1
GCF_030644305.1_ASM3064430v1,NZ_CP129210.1,plasmid,115515,94026,1.228543169,0.547616192,2.243438354,115515,0,2.243438354,210941.5347,Salmonella enterica subsp. enterica serovar Typhimurium,HS_180Salm,Pseudomonadota,Gammaproteobacteria,NA,Oyster,Animals,Salmonella,4894501,0.019210539
GCF_030644305.1_ASM3064430v1,NZ_CP129211.1,plasmid,141325,1939,72.88550799,0.547616192,133.0959695,141325,0,133.0959695,258073.0848,Salmonella enterica subsp. enterica serovar Typhimurium,HS_180Salm,Pseudomonadota,Gammaproteobacteria,NA,Oyster,Animals,Salmonella,4894501,0.000396159
GCF_019551855.1_ASM1955185v1,NZ_CP068283.1,chromosome,9364741,4688863,1.997230672,1.997230672,1,9364741,0,1,4688863,Escherichia coli,CY598,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Escherichia,4688863,1
GCF_019551855.1_ASM1955185v1,NZ_CP068284.1,plasmid,1341436,67408,19.90024923,1.997230672,9.963921298,1341436,0,9.963921298,671648.0068,Escherichia coli,CY598,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Escherichia,4688863,0.014376193
GCF_005885935.1_ASM588593v1,NZ_CP040568.1,chromosome,142371674,4965236,28.67369728,28.67369728,1,142371674,0,1,4965236,Salmonella enterica subsp. enterica serovar Typhimurium,SAP17-8290,Pseudomonadota,Gammaproteobacteria,Homo sapiens,stool,Humans,Salmonella,4965236,1
GCF_005885935.1_ASM588593v1,NZ_CP040569.1,plasmid,2477061,94033,26.34246488,28.67369728,0.918697879,2477061,0,0.918697879,86387.91767,Salmonella enterica subsp. enterica serovar Typhimurium,SAP17-8290,Pseudomonadota,Gammaproteobacteria,Homo sapiens,stool,Humans,Salmonella,4965236,0.018938274
GCF_025854055.1_ASM2585405v1,NZ_CP107595.1,chromosome,8671069,3955973,2.191892867,2.191892867,1,8671069,0,1,3955973,Acinetobacter baumannii,1326581-1,Pseudomonadota,Gammaproteobacteria,Homo sapiens,wound,Humans,Acinetobacter,3955973,1
GCF_025854055.1_ASM2585405v1,NZ_CP107596.1,plasmid,148777,19667,7.564803986,2.191892867,3.451265388,148777,0,3.451265388,67876.03639,Acinetobacter baumannii,1326581-1,Pseudomonadota,Gammaproteobacteria,Homo sapiens,wound,Humans,Acinetobacter,3955973,0.00497147
GCF_004124015.1_ASM412401v1,NZ_CP032700.1,chromosome,1379304,1828132,0.754488188,0.754488188,1,1379304,0,1,1828132,Streptococcus pyogenes,TSPY556,Terrabacteria group,Bacillota,Homo sapiens,Abscess (lymph node),Humans,Streptococcus,1828132,1
GCF_004124015.1_ASM412401v1,NZ_CP032701.1,plasmid,87673,4968,17.64754428,0.754488188,23.3900869,87673,0,23.3900869,116201.9517,Streptococcus pyogenes,TSPY556,Terrabacteria group,Bacillota,Homo sapiens,Abscess (lymph node),Humans,Streptococcus,1828132,0.002717528
GCF_009857075.1_ASM985707v1,NZ_CP047323.1,chromosome,1022595,4870266,0.209966971,0.209966971,1,1022595,0,1,4870266,Salmonella enterica subsp. enterica serovar Typhimurium,RM13672,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4870266,1
GCF_009857075.1_ASM985707v1,NZ_CP047324.1,plasmid,31537,93832,0.336100691,0.209966971,1.600731244,31537,0,1.600731244,150199.814,Salmonella enterica subsp. enterica serovar Typhimurium,RM13672,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4870266,0.019266299
GCF_016889645.1_ASM1688964v1,NZ_CP069518.1,chromosome,12016645,4675929,2.569894667,2.569894667,1,12016645,0,1,4675929,Salmonella enterica,FDAARGOS_1271,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Salmonella,4675929,1
GCF_016889645.1_ASM1688964v1,NZ_CP069519.1,plasmid,450954,128163,3.518597411,2.569894667,1.369160167,450954,0,1.369160167,175475.6745,Salmonella enterica,FDAARGOS_1271,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Salmonella,4675929,0.027409099
GCF_028473645.1_ASM2847364v1,NZ_CP097269.1,chromosome,10142448,5695567,1.780761775,1.780761775,1,10142448,0,1,5695567,Acidovorax sp. GBBC 1281,GBBC 1281,Pseudomonadota,Betaproteobacteria,Cichorium endivia var. crispum,PO_0009002,Plants,Acidovorax,5695567,1
GCF_028473645.1_ASM2847364v1,NZ_CP097270.1,plasmid,50265,12443,4.03962067,1.780761775,2.268478989,50265,0,2.268478989,28226.68406,Acidovorax sp. GBBC 1281,GBBC 1281,Pseudomonadota,Betaproteobacteria,Cichorium endivia var. crispum,PO_0009002,Plants,Acidovorax,5695567,0.002184682
GCF_029229485.1_ASM2922948v1,NZ_CP117863.1,chromosome,2509053,3349623,0.749055341,0.749055341,1,2509053,0,1,3349623,Novacetimonas hansenii,NQ5,Pseudomonadota,Alphaproteobacteria,NA,Sugarcane exudate,Food,Novacetimonas,3349623,1
GCF_029229485.1_ASM2922948v1,NZ_CP117864.1,plasmid,68220,101521,0.671979196,0.749055341,0.897102202,68220,0,0.897102202,91074.71267,Novacetimonas hansenii,NQ5,Pseudomonadota,Alphaproteobacteria,NA,Sugarcane exudate,Food,Novacetimonas,3349623,0.030308187
GCF_039639765.1_ASM3963976v1,NZ_CP147787.1,chromosome,2953230,5228855,0.564794778,0.564794778,1,2953230,0,1,5228855,Bacillus anthracis,-,Terrabacteria group,Bacillota,NA,NA,Unannotated,Bacillus,5228855,1
GCF_039639765.1_ASM3963976v1,NZ_CP147788.1,plasmid,262758,181634,1.446634441,0.564794778,2.561345282,262758,0,2.561345282,465227.389,Bacillus anthracis,-,Terrabacteria group,Bacillota,NA,NA,Unannotated,Bacillus,5228855,0.034736859
GCF_016756155.1_ASM1675615v1,NZ_AP024260.1,chromosome,2100962,5737772,0.366163382,0.366163382,1,2100962,0,1,5737772,Mycobacterium intracellulare,M023,Terrabacteria group,Actinomycetota,Homo sapiens,sputum,Humans,Mycobacterium,5737772,1
GCF_016756155.1_ASM1675615v1,NZ_AP024261.1,plasmid,17989,24567,0.732242439,0.366163382,1.999769707,17989,0,1.999769707,49128.3424,Mycobacterium intracellulare,M023,Terrabacteria group,Actinomycetota,Homo sapiens,sputum,Humans,Mycobacterium,5737772,0.004281627
GCF_022655645.1_ASM2265564v1,NZ_CP093386.1,chromosome,4238109,4856455,0.872675439,0.872675439,1,4238109,0,1,4856455,Salmonella enterica,P048595,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4856455,1
GCF_022655645.1_ASM2265564v1,NZ_CP093387.1,plasmid,157139,93849,1.674381187,0.872675439,1.918675732,157139,0,1.918675732,180065.7987,Salmonella enterica,P048595,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4856455,0.01932459
GCF_022655645.1_ASM2265564v1,NZ_CP093388.1,plasmid,34386,3910,8.794373402,0.872675439,10.07748472,34386,0,10.07748472,39402.96524,Salmonella enterica,P048595,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4856455,0.000805114
GCF_022655645.1_ASM2265564v1,NZ_CP093389.1,plasmid,47187,3176,14.85736776,0.872675439,17.02507839,47187,0,17.02507839,54071.64896,Salmonella enterica,P048595,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4856455,0.000653975
GCF_028622715.1_ASM2862271v1,NZ_CP117762.1,chromosome,1872898,4005723,0.467555545,0.467555545,1,1872898,0,1,4005723,Acinetobacter baumannii,2022CK-00839,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Acinetobacter,4005723,1
GCF_028622715.1_ASM2862271v1,NZ_CP117763.1,plasmid,43005,66484,0.646847362,0.467555545,1.383466347,43005,0,1.383466347,91978.37662,Acinetobacter baumannii,2022CK-00839,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Acinetobacter,4005723,0.016597253
GCF_030020595.1_ASM3002059v1,NZ_CP124906.1,chromosome,7704375,2765943,2.785442433,2.785442433,1,7704375,0,1,2765943,Enterococcus faecalis,EfsC49,Terrabacteria group,Bacillota,Homo sapiens,urine,Humans,Enterococcus,2765943,1
GCF_030020595.1_ASM3002059v1,NZ_CP124907.1,plasmid,334492,79359,4.214922063,2.785442433,1.513196616,334492,0,1.513196616,120085.7702,Enterococcus faecalis,EfsC49,Terrabacteria group,Bacillota,Homo sapiens,urine,Humans,Enterococcus,2765943,0.028691481
GCF_008124065.1_ASM812406v1,NZ_CP043214.1,chromosome,3001660,4751368,0.631746478,0.631746478,1,3001660,0,1,4751368,Salmonella enterica subsp. enterica serovar Heidelberg,SL-312,Pseudomonadota,Gammaproteobacteria,NA,chicken,Livestock,Salmonella,4751368,1
GCF_008124065.1_ASM812406v1,NZ_CP043215.1,plasmid,158156,165649,0.9547658,0.631746478,1.511311631,158156,0,1.511311631,250347.2603,Salmonella enterica subsp. enterica serovar Heidelberg,SL-312,Pseudomonadota,Gammaproteobacteria,NA,chicken,Livestock,Salmonella,4751368,0.034863433
GCF_008124065.1_ASM812406v1,NZ_CP043216.1,plasmid,82851,37697,2.19781415,0.631746478,3.478949588,82851,0,3.478949588,131145.9626,Salmonella enterica subsp. enterica serovar Heidelberg,SL-312,Pseudomonadota,Gammaproteobacteria,NA,chicken,Livestock,Salmonella,4751368,0.007933926
GCF_003019655.1_ASM301965v1,NZ_CP028103.1,chromosome,2384593,3303644,0.72180689,0.72180689,1,2384593,0,1,3303644,Fusobacterium varium ATCC 27725,ATCC 27725,Fusobacteriota,Fusobacteriia,Homo sapiens,feces,Humans,Fusobacterium,3303644,1
GCF_003019655.1_ASM301965v1,NZ_CP028104.1,plasmid,85574,42814,1.99873873,0.72180689,2.769076825,85574,0,2.769076825,118555.2552,Fusobacterium varium ATCC 27725,ATCC 27725,Fusobacteriota,Fusobacteriia,Homo sapiens,feces,Humans,Fusobacterium,3303644,0.012959629
GCF_004768605.1_ASM476860v1,NZ_CP038601.1,chromosome,1318785,4804514,0.274488741,0.274488741,1,1318785,0,1,4804514,Salmonella enterica subsp. enterica serovar Senftenberg,Nov-06,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Salmonella,4804514,1
GCF_004768605.1_ASM476860v1,NZ_CP038602.1,plasmid,10545,30148,0.349774446,0.274488741,1.274276112,10545,0,1.274276112,38416.87624,Salmonella enterica subsp. enterica serovar Senftenberg,Nov-06,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Salmonella,4804514,0.006274932
GCF_004768605.1_ASM476860v1,NZ_CP038603.1,plasmid,17729,6237,2.842552509,0.274488741,10.3558073,17729,0,10.3558073,64589.17011,Salmonella enterica subsp. enterica serovar Senftenberg,Nov-06,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Salmonella,4804514,0.001298154
GCF_003073635.1_ASM307363v1,NZ_CP029080.1,chromosome,14805478,2786146,5.313963446,5.313963446,1,14805478,0,1,2786146,Staphylococcus aureus,AR466,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2786146,1
GCF_003073635.1_ASM307363v1,NZ_CP029079.1,plasmid,471759,24653,19.13596723,5.313963446,3.601072423,471759,0,3.601072423,88777.23845,Staphylococcus aureus,AR466,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2786146,0.008848424
GCF_022655705.1_ASM2265570v1,NZ_CP093392.1,chromosome,3164368,4704408,0.672638938,0.672638938,1,3164368,0,1,4704408,Salmonella enterica,P201982,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4704408,1
GCF_022655705.1_ASM2265570v1,NZ_CP093393.1,plasmid,72457,58608,1.236298799,0.672638938,1.837982801,72457,0,1.837982801,107720.496,Salmonella enterica,P201982,Pseudomonadota,Gammaproteobacteria,Homo sapiens,feces,Humans,Salmonella,4704408,0.012458103
GCF_008369765.1_ASM836976v1,NZ_CP043550.1,chromosome,1498414,2041198,0.734085571,0.734085571,1,1498414,0,1,2041198,Francisella marina,E103-15,Pseudomonadota,Gammaproteobacteria,Lutjanus guttatus (Rose snapper),NA,Animals,Francisella,2041198,1
GCF_008369765.1_ASM836976v1,NZ_CP043551.1,plasmid,105355,4106,25.65879201,0.734085571,34.95340736,105355,0,34.95340736,143518.6906,Francisella marina,E103-15,Pseudomonadota,Gammaproteobacteria,Lutjanus guttatus (Rose snapper),NA,Animals,Francisella,2041198,0.002011564
GCF_013391125.1_ASM1339112v1,NZ_CP058340.1,chromosome,3479658,1654173,2.103563533,2.103563533,1,3479658,0,1,1654173,Campylobacter coli,20A420,Campylobacterota,Epsilonproteobacteria,NA,environmental,Unannotated,Campylobacter,1654173,1
GCF_013391125.1_ASM1339112v1,NZ_CP058341.1,plasmid,46120,26486,1.741297289,2.103563533,0.827784501,46120,0,0.827784501,21924.70029,Campylobacter coli,20A420,Campylobacterota,Epsilonproteobacteria,NA,environmental,Unannotated,Campylobacter,1654173,0.016011626
GCF_024917615.1_ASM2491761v1,NZ_CP103611.1,chromosome,6728749,4944105,1.360964017,1.360964017,1,6728749,0,1,4944105,Enterobacter cloacae,3143,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Enterobacter,4944105,1
GCF_024917615.1_ASM2491761v1,NZ_CP103612.1,plasmid,246826,159348,1.548974571,1.360964017,1.138145133,246826,0,1.138145133,181361.1506,Enterobacter cloacae,3143,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Enterobacter,4944105,0.032229898
GCF_024917615.1_ASM2491761v1,NZ_CP103613.1,plasmid,59062,5410,10.91719039,1.360964017,8.021659834,59062,0,8.021659834,43397.1797,Enterobacter cloacae,3143,Pseudomonadota,Gammaproteobacteria,Homo sapiens,blood,Humans,Enterobacter,4944105,0.001094232
GCF_030295765.1_ASM3029576v1,NZ_AP027292.1,chromosome,1149074,3941407,0.291539037,0.291539037,1,1149074,0,1,3941407,Neptuniibacter halophilus,LMG 25378,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Neptuniibacter,3941407,1
GCF_030295765.1_ASM3029576v1,NZ_AP027293.1,plasmid,49110,172193,0.285203231,0.291539037,0.978267729,49110,0,0.978267729,168450.855,Neptuniibacter halophilus,LMG 25378,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Neptuniibacter,3941407,0.043688206
GCF_025984565.1_ASM2598456v1,NZ_CP087814.1,chromosome,3657913,2812574,1.30055707,1.30055707,1,3657913,0,1,2812574,Moraxella bovis,SAM109238,Pseudomonadota,Gammaproteobacteria,Bovine,NA,Livestock,Moraxella,2812574,1
GCF_025984565.1_ASM2598456v1,NZ_CP087815.1,plasmid,130441,46162,2.825722456,1.30055707,2.172701623,130441,0,2.172701623,100296.2523,Moraxella bovis,SAM109238,Pseudomonadota,Gammaproteobacteria,Bovine,NA,Livestock,Moraxella,2812574,0.016412724
GCF_025984565.1_ASM2598456v1,NZ_CP087816.1,plasmid,209432,32546,6.434953604,1.30055707,4.947844084,209432,0,4.947844084,161032.5336,Moraxella bovis,SAM109238,Pseudomonadota,Gammaproteobacteria,Bovine,NA,Livestock,Moraxella,2812574,0.011571607
GCF_946415285.1_SJC1050,NZ_OX291796.1,chromosome,2189814,5433114,0.403049522,0.403049522,1,2189814,0,1,5433114,Serratia marcescens,SJC1050,Pseudomonadota,Gammaproteobacteria,NA,Bloodstream,Humans,Serratia,5433114,1
GCF_946415285.1_SJC1050,NZ_OX291797.1,plasmid,67127,12879,5.212128271,0.403049522,12.93173168,67127,0,12.93173168,166547.7723,Serratia marcescens,SJC1050,Pseudomonadota,Gammaproteobacteria,NA,Bloodstream,Humans,Serratia,5433114,0.002370464
GCF_946415285.1_SJC1050,NZ_OX291798.1,plasmid,18431,3696,4.986742424,0.403049522,12.37253031,18431,0,12.37253031,45728.87201,Serratia marcescens,SJC1050,Pseudomonadota,Gammaproteobacteria,NA,Bloodstream,Humans,Serratia,5433114,0.000680273
GCF_946415285.1_SJC1050,NZ_OX291799.1,plasmid,16495,3223,5.117902575,0.403049522,12.69794975,16495,0,12.69794975,40925.49204,Serratia marcescens,SJC1050,Pseudomonadota,Gammaproteobacteria,NA,Bloodstream,Humans,Serratia,5433114,0.000593214
GCF_021459905.1_ASM2145990v1,NZ_CP090511.1,chromosome,10239552,2621666,3.905742379,3.905742379,1,10239552,0,1,2621666,Xylella fastidiosa subsp. multiplex,Oak 35874,Pseudomonadota,Gammaproteobacteria,Quercus,NA,Plants,Xylella,2621666,1
GCF_021459905.1_ASM2145990v1,NZ_CP090512.1,plasmid,105848,26361,4.01532567,3.905742379,1.028056969,105848,0,1.028056969,27100.60975,Xylella fastidiosa subsp. multiplex,Oak 35874,Pseudomonadota,Gammaproteobacteria,Quercus,NA,Plants,Xylella,2621666,0.010055057
GCF_036259715.1_ASM3625971v1,NZ_CP142771.1,chromosome,7315916,3268975,2.237984689,2.237984689,1,7315916,0,1,3268975,Lactiplantibacillus plantarum,VHProbi M25,Terrabacteria group,Bacillota,NA,Camel,Animals,Lactiplantibacillus,3268975,1
