AnnotationAccession,SeqID,SeqType,SeqLength,CDS_count,CDS_length,transposase_count, transposase_length
GCF_003267985.1_ASM326798v1,NZ_CP022611.1,chromosome,5356693,4931,4599816,39,38316
GCF_003267985.1_ASM326798v1,NZ_CP022612.1,plasmid,334957,334,249516,29,31164
GCF_003267985.1_ASM326798v1,NZ_CP022613.1,plasmid,102915,91,77244,7,6249
GCF_013372425.1_ASM1337242v1,NZ_CP054236.1,chromosome,5147412,4611,4400922,59,52077
GCF_013372425.1_ASM1337242v1,NZ_CP054237.1,plasmid,131660,130,101685,13,11937
GCF_013372425.1_ASM1337242v1,NZ_CP054238.1,plasmid,1546,1,477,0,0
GCF_001511815.1_TUE45,NZ_LN997842.1,chromosome,8353915,7105,7115925,9,8532
GCF_001511815.1_TUE45,NZ_LN997843.1,plasmid,812118,571,639879,1,1185
GCF_001511815.1_TUE45,NZ_LN997844.1,plasmid,94102,96,65910,0,0
GCF_001511815.1_TUE45,NZ_LN997845.1,plasmid,76089,68,62586,0,0
GCF_003177055.1_ASM317705v1,NZ_CP029451.1,chromosome,4198614,3817,3560778,58,53910
GCF_003177055.1_ASM317705v1,NZ_CP029453.1,plasmid,401505,318,258252,72,70032
GCF_003177055.1_ASM317705v1,NZ_CP029452.1,plasmid,2210745,1950,1811097,36,36711
GCF_000270045.1_ASM27004v1,NC_017366.1,chromosome,1578824,1424,1375824,6,5502
GCF_000270045.1_ASM27004v1,NC_017370.1,plasmid,2637,3,1632,0,0
GCF_020525725.1_ASM2052572v1,NZ_CP084789.1,chromosome,5456874,5078,4703565,98,94947
GCF_020525725.1_ASM2052572v1,NZ_CP084790.1,plasmid,205084,204,151647,17,20709
GCF_020525725.1_ASM2052572v1,NZ_CP084799.1,plasmid,3844,3,3177,0,0
GCF_020525725.1_ASM2052572v1,NZ_CP084800.1,plasmid,3708,4,1179,0,0
GCF_020525725.1_ASM2052572v1,NZ_CP084801.1,plasmid,3534,4,987,0,0
GCF_020525725.1_ASM2052572v1,NZ_CP084802.1,plasmid,3335,4,1500,0,0
GCF_020525725.1_ASM2052572v1,NZ_CP084791.1,plasmid,145852,132,117402,12,12999
GCF_020525725.1_ASM2052572v1,NZ_CP084792.1,plasmid,111860,111,92682,3,3084
GCF_020525725.1_ASM2052572v1,NZ_CP084793.1,plasmid,40280,56,36549,0,0
GCF_020525725.1_ASM2052572v1,NZ_CP084794.1,plasmid,12171,10,9171,1,1026
GCF_020525725.1_ASM2052572v1,NZ_CP084795.1,plasmid,7876,9,5478,1,1404
GCF_020525725.1_ASM2052572v1,NZ_CP084796.1,plasmid,5752,6,3120,2,1707
GCF_020525725.1_ASM2052572v1,NZ_CP084797.1,plasmid,5266,7,3774,0,0
GCF_020525725.1_ASM2052572v1,NZ_CP084798.1,plasmid,4381,5,2436,0,0
GCF_001735655.2_ASM173565v2,NZ_CP025495.1,chromosome,2865166,2715,2361006,13,8403
GCF_001735655.2_ASM173565v2,NZ_CP025496.1,plasmid,3269,3,1767,0,0
GCF_001735655.2_ASM173565v2,NZ_CP025497.1,plasmid,61505,65,47982,2,1350
GCF_014168815.1_ASM1416881v1,NZ_AP021972.1,chromosome,5160024,4758,4511847,63,66165
GCF_014168815.1_ASM1416881v1,NZ_AP021973.1,plasmid,230471,274,181677,19,29442
GCF_014168815.1_ASM1416881v1,NZ_AP021982.1,plasmid,2760,4,1194,0,0
GCF_014168815.1_ASM1416881v1,NZ_AP021974.1,plasmid,146141,169,112326,24,24918
GCF_014168815.1_ASM1416881v1,NZ_AP021975.1,plasmid,42597,59,37116,0,0
GCF_014168815.1_ASM1416881v1,NZ_AP021976.1,plasmid,8285,8,5850,1,2898
GCF_014168815.1_ASM1416881v1,NZ_AP021977.1,plasmid,5286,6,2541,1,699
GCF_014168815.1_ASM1416881v1,NZ_AP021978.1,plasmid,4938,4,2319,0,0
GCF_014168815.1_ASM1416881v1,NZ_AP021979.1,plasmid,4667,4,2583,0,0
GCF_014168815.1_ASM1416881v1,NZ_AP021980.1,plasmid,4550,6,2481,0,0
GCF_014168815.1_ASM1416881v1,NZ_AP021981.1,plasmid,3139,3,1713,0,0
GCF_027947615.1_ASM2794761v1,NZ_CP116241.1,chromosome,4793125,4370,4106766,31,21543
GCF_027947615.1_ASM2794761v1,NZ_CP116242.1,plasmid,122629,129,96678,12,13551
GCF_027947615.1_ASM2794761v1,NZ_CP116243.1,plasmid,148536,129,104214,14,12576
GCF_027947615.1_ASM2794761v1,NZ_CP116244.1,plasmid,11610,17,4296,0,0
GCF_027947615.1_ASM2794761v1,NZ_CP116245.1,plasmid,93185,89,78798,0,0
GCF_026069065.1_ASM2606906v2,NZ_CP114354.1,chromosome,5533215,5123,4831095,34,29565
GCF_026069065.1_ASM2606906v2,NZ_CP114355.1,plasmid,236560,228,188049,28,29634
GCF_026069065.1_ASM2606906v2,NZ_CP114356.1,plasmid,137756,156,119268,7,11571
GCF_026069065.1_ASM2606906v2,NZ_CP114357.1,plasmid,66898,82,54867,2,2361
GCF_026069065.1_ASM2606906v2,NZ_CP114358.1,plasmid,33141,29,29262,1,654
GCF_026069065.1_ASM2606906v2,NZ_CP114359.1,plasmid,3672,6,1620,0,0
GCF_026069065.1_ASM2606906v2,NZ_CP114360.1,plasmid,3223,4,1359,0,0
GCF_003017375.1_ASM301737v1,NZ_CP027219.1,chromosome,5500189,5161,4660341,85,81711
GCF_003017375.1_ASM301737v1,NZ_CP027220.1,plasmid,94104,60,60381,19,15384
GCF_009883855.1_ASM988385v1,NZ_CP034294.1,chromosome,3358530,2924,2865219,28,27372
GCF_009883855.1_ASM988385v1,NZ_CP034295.1,chromosome,1884380,1654,1612905,13,12681
GCF_009883855.1_ASM988385v1,NZ_CP034296.1,plasmid,106440,96,73221,3,4383
GCF_009883855.1_ASM988385v1,NZ_CP034297.1,plasmid,71249,86,57225,6,5946
GCF_013267575.1_ASM1326757v1,NZ_CP054006.1,chromosome,2172396,2045,1847022,4,2379
GCF_013267575.1_ASM1326757v1,NZ_CP054005.1,plasmid,25845,29,20631,3,2025
GCF_013267575.1_ASM1326757v1,NZ_CP054007.1,plasmid,20361,17,13254,1,675
GCF_013267575.1_ASM1326757v1,NZ_CP054008.1,plasmid,30849,27,16551,0,0
GCF_013267575.1_ASM1326757v1,NZ_CP054009.1,plasmid,6056,5,4248,0,0
GCF_024442215.1_ASM2444221v1,NZ_CP050475.1,chromosome,3432436,2932,2871969,40,32760
GCF_024442215.1_ASM2444221v1,NZ_CP050476.1,chromosome,1955000,1699,1586724,37,33060
GCF_024442215.1_ASM2444221v1,NZ_CP050477.1,plasmid,34734,24,20382,2,2385
GCF_021491615.1_ASM2149161v1,NZ_CP090792.1,chromosome,5008791,4618,4427466,36,34617
GCF_021491615.1_ASM2149161v1,NZ_CP090793.1,plasmid,138733,152,116607,6,12273
GCF_021491615.1_ASM2149161v1,NZ_CP090794.1,plasmid,54915,65,44775,0,0
GCF_021491615.1_ASM2149161v1,NZ_CP090795.1,plasmid,42568,51,34386,1,1680
GCF_013738915.1_ASM1373891v1,NZ_CP056350.1,chromosome,5178534,4798,4498584,93,88797
GCF_013738915.1_ASM1373891v1,NZ_CP056351.1,plasmid,304626,329,240336,22,28413
GCF_013738915.1_ASM1373891v1,NZ_CP056352.1,plasmid,8329,9,4527,0,0
GCF_013738915.1_ASM1373891v1,NZ_CP056353.1,plasmid,4386,8,3321,0,0
GCF_013738915.1_ASM1373891v1,NZ_CP056354.1,plasmid,2746,3,765,0,0
GCF_019720795.1_ASM1972079v1,NZ_CP081306.1,chromosome,4807180,4352,4093794,55,50616
GCF_019720795.1_ASM1972079v1,NZ_CP081307.1,plasmid,98473,88,63549,14,10797
GCF_019720795.1_ASM1972079v1,NZ_CP081308.1,plasmid,90661,104,76644,1,1215
GCF_019720795.1_ASM1972079v1,NZ_CP081309.1,plasmid,51479,59,37872,4,4023
GCF_019720795.1_ASM1972079v1,NZ_CP081310.1,plasmid,2088,2,1233,0,0
GCF_005221905.1_ASM522190v1,NZ_CP028609.1,chromosome,5428191,5022,4561620,72,60930
GCF_005221905.1_ASM522190v1,NZ_CP028612.1,plasmid,92725,78,71010,2,2388
GCF_005221905.1_ASM522190v1,NZ_CP028611.1,plasmid,88018,96,73737,1,927
GCF_005221905.1_ASM522190v1,NZ_CP028610.1,plasmid,67786,82,55839,0,0
GCF_005221905.1_ASM522190v1,NZ_CP028613.1,plasmid,3306,6,2250,0,0
GCF_030846055.1_ASM3084605v1,NZ_CP132726.1,chromosome,5266515,4858,4590129,33,26304
GCF_030846055.1_ASM3084605v1,NZ_CP132727.1,plasmid,221089,214,165843,19,17043
GCF_036287195.1_ASM3628719v1,NZ_CP142855.1,chromosome,2326937,2191,1977573,28,32139
GCF_036287195.1_ASM3628719v1,NZ_CP142856.1,plasmid,39524,41,35454,3,3519
GCF_036287195.1_ASM3628719v1,NZ_CP142857.1,plasmid,34620,31,24345,2,1350
GCF_036287195.1_ASM3628719v1,NZ_CP142858.1,plasmid,11952,13,9003,0,0
GCF_036287195.1_ASM3628719v1,NZ_CP142859.1,plasmid,2473,3,1272,0,0
GCF_030291955.1_ASM3029195v1,NZ_CP128107.1,chromosome,5177547,5016,4263765,19,18690
GCF_030291955.1_ASM3029195v1,NZ_CP128105.1,plasmid,151749,121,101523,11,9459
GCF_030291955.1_ASM3029195v1,NZ_CP128106.1,plasmid,3224,5,2109,0,0
GCF_012932985.2_ASM1293298v2,NZ_CP059806.1,chromosome,2715925,2495,2285868,82,87561
GCF_012932985.2_ASM1293298v2,NZ_CP059807.1,plasmid,122126,135,98160,13,13086
GCF_012932985.2_ASM1293298v2,NZ_CP059808.1,plasmid,39407,42,29496,11,9678
GCF_012932985.2_ASM1293298v2,NZ_CP059809.1,plasmid,16666,20,10179,3,2682
GCF_012932985.2_ASM1293298v2,NZ_CP059810.1,plasmid,6173,10,4515,0,0
GCF_012932985.2_ASM1293298v2,NZ_CP059811.1,plasmid,4465,4,2073,0,0
GCF_012932985.2_ASM1293298v2,NZ_CP059812.1,plasmid,4148,5,3474,0,0
GCF_012932985.2_ASM1293298v2,NZ_CP059813.1,plasmid,4065,5,3327,0,0
GCF_012932985.2_ASM1293298v2,NZ_CP059814.1,plasmid,3846,4,3000,0,0
GCF_012932985.2_ASM1293298v2,NZ_CP059815.1,plasmid,2056,4,1239,0,0
GCF_000300175.1_ASM30017v1,NC_018679.1,chromosome,4629479,3869,4031061,23,26595
GCF_000300175.1_ASM30017v1,NC_018680.1,plasmid,45406,52,40785,1,2979
GCF_024499285.1_ASM2449928v1,NZ_CP101847.1,chromosome,4978095,3675,3736896,336,334968
GCF_024499285.1_ASM2449928v1,NZ_CP101848.1,plasmid,11505,0,0,0,0
GCF_024499285.1_ASM2449928v1,NZ_CP101849.1,plasmid,16843,0,0,0,0
GCF_024499285.1_ASM2449928v1,NZ_CP101850.1,plasmid,14648,0,0,0,0
GCF_024499285.1_ASM2449928v1,NZ_CP101851.1,plasmid,5549,0,0,0,0
GCF_024499285.1_ASM2449928v1,NZ_CP101852.1,plasmid,45499,0,0,0,0
GCF_024499285.1_ASM2449928v1,NZ_CP101853.1,plasmid,46560,0,0,0,0
GCF_022354225.1_ASM2235422v1,NZ_CP055181.1,chromosome,4642056,4160,3913221,95,79008
GCF_022354225.1_ASM2235422v1,NZ_CP055182.1,plasmid,103571,99,78072,17,15114
GCF_022354225.1_ASM2235422v1,NZ_CP055183.1,plasmid,35925,40,27192,3,2379
GCF_009649055.1_ASM964905v1,NZ_CP045791.1,chromosome,1670008,1638,1530747,3,2904
GCF_009649055.1_ASM964905v1,NZ_CP045793.1,plasmid,55123,62,48795,0,0
GCF_009649055.1_ASM964905v1,NZ_CP045792.1,plasmid,25046,30,23253,0,0
GCF_001858005.1_ASM185800v1,NZ_CP017831.1,chromosome,3143784,2772,2856081,7,7035
GCF_001858005.1_ASM185800v1,NZ_CP017830.1,chromosome,91776,89,80952,1,1938
GCF_001858005.1_ASM185800v1,NZ_CP017833.1,plasmid,6284,6,4851,0,0
GCF_001858005.1_ASM185800v1,NZ_CP017832.1,plasmid,144470,150,116460,1,1350
GCF_031197025.1_ASM3119702v1,NZ_CP133487.1,chromosome,4908742,4552,4258860,31,20631
GCF_031197025.1_ASM3119702v1,NZ_CP133488.1,plasmid,249152,251,195153,15,15165
GCF_031197025.1_ASM3119702v1,NZ_CP133489.1,plasmid,33858,42,27738,0,0
GCF_006384875.1_ASM638487v1,NZ_CP029454.1,chromosome,5271204,5141,4354236,10,10275
GCF_006384875.1_ASM638487v1,NZ_CP029455.1,plasmid,512032,383,351258,15,14190
GCF_006384875.1_ASM638487v1,NZ_CP029456.1,plasmid,80835,85,58860,2,2355
GCF_006384875.1_ASM638487v1,NZ_CP029457.1,plasmid,68982,92,52596,0,0
GCF_002999235.1_ASM299923v1,NZ_CP027236.1,chromosome,3244017,2404,2661783,6,3681
GCF_002999235.1_ASM299923v1,NZ_CP027237.1,plasmid,5399,4,3069,0,0
GCF_013168135.1_ASM1316813v1,NZ_CP038414.1,chromosome,5542130,5108,4649064,81,68505
GCF_013168135.1_ASM1316813v1,NZ_CP038415.1,plasmid,92490,81,71703,5,4656
GCF_020990385.1_ASM2099038v1,NZ_CP087597.1,chromosome,1412597,1362,1265064,20,18327
GCF_020990385.1_ASM2099038v1,NZ_CP087598.1,chromosome,2389614,2319,2145693,42,36702
GCF_020990385.1_ASM2099038v1,NZ_CP087599.1,plasmid,671525,591,608457,3,1527
GCF_017310465.1_ASM1731046v1,NZ_CP064108.1,chromosome,5913545,5363,5132646,40,38004
GCF_017310465.1_ASM1731046v1,NZ_CP064109.1,plasmid,111771,116,94044,1,1122
GCF_017310465.1_ASM1731046v1,NZ_CP064110.1,plasmid,223677,225,175074,9,10287
GCF_017310465.1_ASM1731046v1,NZ_CP064111.1,plasmid,37970,35,24900,8,9378
GCF_017310465.1_ASM1731046v1,NZ_CP064112.1,plasmid,79397,88,63258,8,7974
GCF_024532155.1_ASM2453215v1,NZ_CP099883.1,chromosome,4858369,4411,4142643,38,35745
GCF_024532155.1_ASM2453215v1,NZ_CP099884.1,plasmid,110294,105,85026,1,1209
GCF_024532155.1_ASM2453215v1,NZ_CP099885.1,plasmid,89097,89,71160,6,6783
GCF_002393525.1_ASM239352v1,NZ_CP010784.1,chromosome,3775738,3560,3331623,10,8430
GCF_002393525.1_ASM239352v1,NZ_CP010785.1,plasmid,256057,229,230250,0,0
GCF_002393525.1_ASM239352v1,NZ_CP010786.1,plasmid,109815,105,93597,0,0
GCF_002393525.1_ASM239352v1,NZ_CP010787.1,plasmid,82130,79,66525,0,0
GCF_002393525.1_ASM239352v1,NZ_CP010788.1,plasmid,77874,61,69912,0,0
GCF_002393525.1_ASM239352v1,NZ_CP010789.1,plasmid,68720,49,60123,0,0
GCF_002393525.1_ASM239352v1,NZ_CP010790.1,plasmid,68222,77,58386,1,1236
GCF_002393525.1_ASM239352v1,NZ_CP010791.1,plasmid,171534,176,150873,4,5838
GCF_016598635.1_ASM1659863v1,NZ_CP066806.1,chromosome,4994807,4553,4344261,58,57756
GCF_016598635.1_ASM1659863v1,NZ_CP066807.1,plasmid,131861,127,97443,5,4320
GCF_016598635.1_ASM1659863v1,NZ_CP066808.1,plasmid,191962,213,147447,12,11325
GCF_025369675.1_ASM2536967v1,NZ_CP104509.1,chromosome,5138011,4780,4339242,83,90141
GCF_025369675.1_ASM2536967v1,NZ_CP104510.1,plasmid,124280,121,98040,12,15699
GCF_025369675.1_ASM2536967v1,NZ_CP104511.1,plasmid,103229,100,81252,8,9330
GCF_025369675.1_ASM2536967v1,NZ_CP104512.1,plasmid,83246,95,70821,1,891
GCF_025369675.1_ASM2536967v1,NZ_CP104513.1,plasmid,6268,8,3972,0,0
GCF_025369675.1_ASM2536967v1,NZ_CP104514.1,plasmid,2096,1,990,0,0
GCF_025369675.1_ASM2536967v1,NZ_CP104515.1,plasmid,2089,2,1233,0,0
GCF_030384805.1_ASM3038480v1,NZ_CP128590.1,chromosome,5041351,4665,4338840,53,47640
GCF_030384805.1_ASM3038480v1,NZ_CP128589.1,plasmid,163662,126,107310,17,13530
GCF_030384805.1_ASM3038480v1,NZ_CP128588.1,plasmid,5314,7,3264,0,0
GCF_002355455.1_ASM235545v1,NZ_AP017375.1,chromosome,5319768,4537,4361580,95,79482
GCF_002355455.1_ASM235545v1,NZ_AP017376.1,plasmid,143540,131,111762,15,12402
GCF_022459015.1_ASM2245901v1,NZ_CP092734.1,chromosome,2009488,1715,1726896,5,4899
GCF_022459015.1_ASM2245901v1,NZ_CP092735.1,plasmid,53388,54,47649,0,0
GCF_029873235.1_ASM2987323v1,NZ_CP123488.1,chromosome,4624787,4212,4008087,63,59814
GCF_029873235.1_ASM2987323v1,NZ_CP123489.1,plasmid,4455,6,2526,0,0
GCF_029873235.1_ASM2987323v1,NZ_CP123490.1,plasmid,3621,3,978,0,0
GCF_028471925.1_ASM2847192v1,NZ_CP116903.1,chromosome,5645786,5378,4950270,61,60411
GCF_028471925.1_ASM2847192v1,NZ_CP116904.1,plasmid,181653,164,129990,20,21831
GCF_028471925.1_ASM2847192v1,NZ_CP116905.1,plasmid,134875,146,93801,12,11931
GCF_028471925.1_ASM2847192v1,NZ_CP116906.1,plasmid,86599,89,66042,7,6411
GCF_028471925.1_ASM2847192v1,NZ_CP116907.1,plasmid,23940,28,17994,0,0
GCF_028471925.1_ASM2847192v1,NZ_CP116908.1,plasmid,11192,20,6240,0,0
GCF_000011685.1_ASM1168v1,NC_006677.1,chromosome,2702173,2480,2402121,61,62205
GCF_000011685.1_ASM1168v1,NC_006672.1,plasmid,163186,159,133794,6,7368
GCF_000011685.1_ASM1168v1,NC_006673.1,plasmid,26568,30,19749,8,6543
GCF_000011685.1_ASM1168v1,NC_006674.1,plasmid,14547,22,12423,0,0
GCF_000011685.1_ASM1168v1,NC_006675.1,plasmid,13223,16,8088,6,3993
GCF_000011685.1_ASM1168v1,NC_006676.1,plasmid,2687,4,1335,0,0
GCF_000725285.1_ASM72528v1,NZ_CP007161.1,chromosome,3821074,3714,3154665,29,33798
GCF_000725285.1_ASM72528v1,NZ_CP007162.1,plasmid,12068,25,10368,0,0
GCF_000725285.1_ASM72528v1,NZ_CP007163.1,plasmid,4094,4,2694,0,0
GCF_000725285.1_ASM72528v1,NZ_CP007164.1,plasmid,4494,3,2919,0,0
GCF_008727235.1_ASM872723v1,NZ_CP044152.1,chromosome,4538615,3808,3424317,247,228750
GCF_008727235.1_ASM872723v1,NZ_CP044153.1,plasmid,27094,27,15345,1,969
GCF_008727235.1_ASM872723v1,NZ_CP044154.1,plasmid,222114,143,110868,33,31737
GCF_020695705.1_ASM2069570v1,NZ_CP085774.1,chromosome,4859044,4511,4286325,30,26115
GCF_020695705.1_ASM2069570v1,NZ_CP085775.1,plasmid,4416,6,3477,0,0
GCF_020695705.1_ASM2069570v1,NZ_CP085776.1,plasmid,4037,5,2946,0,0
GCF_020695705.1_ASM2069570v1,NZ_CP085777.1,plasmid,3861,3,3174,0,0
GCF_020695705.1_ASM2069570v1,NZ_CP085778.1,plasmid,343120,330,258804,27,29439
GCF_020695705.1_ASM2069570v1,NZ_CP085779.1,plasmid,55220,63,44532,5,9141
GCF_028622195.1_ASM2862219v1,NZ_CP117562.1,chromosome,4960105,4642,4272609,50,39876
GCF_028622195.1_ASM2862219v1,NZ_CP117563.1,plasmid,177310,157,129360,24,26253
GCF_028622195.1_ASM2862219v1,NZ_CP117564.1,plasmid,129910,111,82611,23,19683
GCF_028622195.1_ASM2862219v1,NZ_CP117565.1,plasmid,62457,70,49770,2,2439
GCF_028622195.1_ASM2862219v1,NZ_CP117566.1,plasmid,4936,7,1881,0,0
GCF_028622195.1_ASM2862219v1,NZ_CP117567.1,plasmid,2283,2,444,0,0
GCF_003071305.1_ASM307130v1,NZ_CP028953.1,chromosome,5225737,4878,4520394,90,83667
GCF_003071305.1_ASM307130v1,NZ_CP028954.1,plasmid,214704,204,165927,15,19533
GCF_003071305.1_ASM307130v1,NZ_CP028955.1,plasmid,134346,123,90642,20,20709
GCF_023362055.1_ASM2336205v1,NZ_CP096742.1,chromosome,3953322,3643,3403350,38,40683
GCF_023362055.1_ASM2336205v1,NZ_CP096743.1,plasmid,110967,116,96078,2,2100
GCF_023362055.1_ASM2336205v1,NZ_CP096744.1,plasmid,71278,93,62214,0,0
GCF_030444575.1_ASM3044457v1,NZ_CP129514.1,chromosome,5146802,4803,4508523,55,60384
GCF_030444575.1_ASM3044457v1,NZ_CP129515.1,plasmid,138894,146,109020,12,10896
GCF_030444575.1_ASM3044457v1,NZ_CP129516.1,plasmid,165059,166,135981,18,27252
GCF_017742895.1_ASM1774289v1,NZ_CP072422.1,chromosome,5309797,4899,4635423,30,28443
GCF_017742895.1_ASM1774289v1,NZ_CP072423.1,plasmid,137142,136,96219,12,11565
GCF_017742895.1_ASM1774289v1,NZ_CP072424.1,plasmid,3553,4,2412,0,0
GCF_001921905.1_ASM192190v1,NZ_CP013686.1,chromosome,3957628,3549,3195948,9,6759
GCF_001921905.1_ASM192190v1,NZ_CP013687.1,plasmid,10089,11,7824,0,0
GCF_016801775.1_ASM1680177v1,NZ_CP069004.1,chromosome,3797566,3650,3474990,5,3834
GCF_016801775.1_ASM1680177v1,NZ_CP069005.1,plasmid,152756,152,130836,2,3147
GCF_016801775.1_ASM1680177v1,NZ_CP069006.1,plasmid,120730,116,107691,3,2292
GCF_016801775.1_ASM1680177v1,NZ_CP069007.1,plasmid,92113,93,86097,0,0
GCF_016801775.1_ASM1680177v1,NZ_CP069008.1,plasmid,47984,27,44745,0,0
GCF_015138775.1_ASM1513877v1,NZ_AP022527.1,chromosome,5257192,4889,4601781,34,28311
GCF_015138775.1_ASM1513877v1,NZ_AP022528.1,plasmid,142386,114,105663,17,14283
GCF_015138775.1_ASM1513877v1,NZ_AP022529.1,plasmid,44402,52,34287,5,4302
GCF_015138775.1_ASM1513877v1,NZ_AP022530.1,plasmid,4906,7,3276,0,0
GCF_015138775.1_ASM1513877v1,NZ_AP022531.1,plasmid,4680,5,3000,1,705
GCF_015138775.1_ASM1513877v1,NZ_AP022532.1,plasmid,2315,3,666,0,0
GCF_024749445.1_ASM2474944v1,NZ_CP087298.1,chromosome,3942126,3605,3432282,13,12429
GCF_024749445.1_ASM2474944v1,NZ_CP087299.1,plasmid,83611,103,70422,2,1938
GCF_023735855.1_ASM2373585v1,NZ_AP025899.1,chromosome,5055984,4717,4506135,27,22389
GCF_023735855.1_ASM2373585v1,NZ_AP025900.1,plasmid,378453,382,299517,32,33534
GCF_023735855.1_ASM2373585v1,NZ_AP025901.1,plasmid,4760,6,2514,0,0
GCF_023735855.1_ASM2373585v1,NZ_AP025902.1,plasmid,2511,3,558,0,0
GCF_015283665.1_ASM1528366v1,NZ_CP063904.1,chromosome,5409887,5037,4689816,22,19602
GCF_015283665.1_ASM1528366v1,NZ_CP063905.1,plasmid,226993,207,167253,13,15699
GCF_028892725.1_ASM2889272v1,NZ_CP117386.1,chromosome,4804652,4375,4055718,15,10707
GCF_028892725.1_ASM2889272v1,NZ_CP117387.1,plasmid,100517,121,87153,8,6825
GCF_020905875.1_ASM2090587v1,NZ_CP086847.1,chromosome,3837418,3753,3467022,21,21054
GCF_020905875.1_ASM2090587v1,NZ_CP086848.1,plasmid,290594,267,251070,11,12612
GCF_020905875.1_ASM2090587v1,NZ_CP086849.1,plasmid,108624,88,97809,1,1386
GCF_020905875.1_ASM2090587v1,NZ_CP086850.1,plasmid,210939,184,194643,0,0
GCF_020905875.1_ASM2090587v1,NZ_CP086851.1,plasmid,281173,248,214809,25,19329
GCF_020905875.1_ASM2090587v1,NZ_CP086852.1,plasmid,110568,108,93957,5,5838
GCF_020905875.1_ASM2090587v1,NZ_CP086853.1,plasmid,82233,68,71055,1,1179
