accession,md5,n_families_ge2,has_identical_pair,n_jump_families,max_distinct_contexts,jump_families
NZ_CP107166.1,00f3749a9987a6df81bd5bb9fa6adf04,1,0,0,0,
NZ_CP097722.1,00f828673b8796731a0bf41c11557a7b,5,0,0,0,
NC_011887.1,00f85ce6f51a89379ac5facfbcaefb75,8,1,1,5,IS1182
NZ_CP104000.1,00fa66fed4e0352b11b0a2d4a9b66fd5,1,1,1,2,IS5
NZ_CP093227.1,010a6eaad2639804617cf62bb9ec525e,4,1,1,4,IS6
NZ_CP049244.1,010c25786abe030b32511d816cf04f59,7,0,0,0,
NZ_CP128603.1,01102826811175c18fec54601f9b8c37,3,0,0,0,
NZ_CP113792.1,0116b0c429a95bb112a29d2f11d63fb6,2,1,1,6,IS6
NZ_CP056568.1,0116ddecd7c044d03e6af0402dfd46da,4,1,2,2,IS3;IS5
NZ_CP032756.1,011bf3c8f1276e75c1e7ec1cec9aaae5,1,0,0,0,
NZ_LR890362.1,011c59368a1921d6882adf524dc2c465,5,0,0,0,
NZ_CP007736.1,011c867d07c18d234e77fdd978a84b0b,4,1,2,3,IS3;IS6
NZ_CP049829.1,011daa85f2029df60ae7c1e2c87f61c8,3,1,1,3,IS3
NZ_CP070027.1,011e05d431e0fbe15941673d88f28848,3,1,1,2,IS1
NZ_CP045454.1,01207744ba9e5fd116ee0bad4b33c707,2,0,0,0,
NZ_CP128593.1,0122494e19ac06cb1d4dc4eae90496e7,1,0,0,0,
NZ_CP129870.1,012e6ce75a82409b8259b5682d7d371b,1,1,1,6,IS6
NZ_CP015339.1,01305b6d375a010236f60daf69c17dba,1,0,0,0,
NZ_LN831303.1,01306bf50adcd455701baa7a57dde759,2,0,0,0,
NZ_CP023646.1,01335c4bb141fb4cccf432670cb95739,11,1,4,2,IS21;IS3;IS630;IS91
NZ_CP068167.1,0134bc0a3dd4f24bf9a614a870409a7a,1,0,0,0,
NZ_LR134219.1,0137e71232d3e01b93bc099f1b410004,4,0,0,0,
NZ_CP072150.1,0139b0ea672ae92f16d054bfc73bb451,3,0,0,0,
NZ_CP018968.1,013c505b1c972a4e207d76c5fa3b3d6d,1,0,0,0,
NC_017064.1,0147f974a744f0be9a1674f0843d2333,1,0,0,0,
NZ_CP135452.1,014b5a213e7e797f465a2fd1522882e8,1,1,1,2,new
NZ_CP029135.1,014f9580e4af9e18436ab14ce9e5ce9f,4,0,0,0,
NZ_CP026025.1,01574ccdecceb5a09e627adbf6832c0c,1,1,1,3,IS6
NZ_CP069967.1,015a63e878588f0e7035e1d33def7d80,1,1,1,3,IS6
NZ_CP060903.1,015cc55d7c615f99a08dfb9fc0fda302,4,1,1,2,IS6
NZ_CP082282.1,015f61a26bb13fce163f03f65ba939b8,1,0,0,0,
NZ_CP091939.1,015fe272d888df7f6ba8f24f4e385b73,3,0,0,0,
NZ_CP027588.1,0166468befcbdeaf6b540ca53753c677,2,1,1,2,IS66
NZ_LT969521.1,016829ca320ad780e4d4b95fa673147c,1,0,0,0,
NZ_CP120543.1,016c69d3521a5cc6acd0744d8901f2d0,1,0,0,0,
NZ_CP141187.1,0171226d84c816d96305055778722674,2,1,1,2,IS110
NZ_CP096989.1,0177507d8d66e73158bdaebeabc39b08,3,0,0,0,
NZ_AP022980.1,018644f73c0a4515312c2b0f61620bbf,1,0,0,0,
NZ_CP045373.1,0186e5f6494484e2291d017e8a473263,1,1,1,2,new
NZ_CP062907.1,0187018ee065c0d30741bb59872f4baf,2,1,1,2,IS91
NZ_CP085391.1,018b88cde8deb44275d90b1bda9dafd5,2,1,1,2,IS21
NC_015060.1,018de0d4deadb0f030c5562ff5c30449,3,0,0,0,
NZ_CP008842.1,018fe18f6bd8fc0ee3dc80a70751ea0a,4,1,1,4,IS6
NZ_CP064106.1,019040dc62e1fcc517ce67c59271b625,3,0,0,0,
NZ_CP044294.1,0192c94de7b4e82f11ae218004cbfd97,4,1,1,2,IS6
NZ_CP047572.1,0194e699ff7259a1b2a3f5c8a99737af,2,1,2,3,IS6;IS91
NZ_CP063398.1,0195a88fa0871081b894c38380ffca72,1,0,0,0,
NZ_CP029792.1,0198bac78309fddb6a8fbcce40582bef,1,0,0,0,
NZ_LR135352.1,019fb156c2368ced50b81a84714de3f4,7,1,2,2,IS256;IS6
NZ_CP022269.1,01a0a6ce9701c56180f9188a92dad1e0,1,0,0,0,
NZ_CP023307.1,01a13d2c45b01049cc6e88334551ad13,1,0,0,0,
NZ_CP036366.1,01a3b952c5e6183dd765de9600107eb3,3,1,1,9,IS6
NZ_CP055200.1,01a6d0190bef173e83df99344b841b19,5,1,1,5,IS6
NZ_CP110311.1,01a6d058fdcc08cb4b28dfd5e0902ec3,2,1,1,2,IS3
NZ_CP072063.1,01a89071af1edc5c64b108877a2217cd,1,0,0,0,
NZ_CP024656.1,01a9e6b1c629e853a692ce5a102320bf,3,1,1,3,IS6
NZ_CP079755.1,01aa86a969f61676ab98f436bd7905f2,3,0,0,0,
NZ_CP010373.2,01ab3af0b4e7eacfac34b743f7d00820,5,1,0,1,
NZ_CP071450.1,01b45237e917fc86c4ad070cce2f147b,1,0,0,0,
NZ_CP044317.1,01b5731d51690d4b5854f01894a8e582,8,1,1,2,IS3
NZ_CP018451.1,01b9c02d9a5573632be0ea155d9437f4,4,1,1,5,IS6
NZ_CP117603.1,01bfb89241401d937f7d7d132f85713d,1,0,0,0,
NZ_CP035908.1,01c1de9fdc0c6f0340b0060f4bfbe964,3,0,0,0,
NZ_CP093453.1,01c9a117e9ce16e8991b2acbd4ad67a5,1,0,0,0,
NZ_CP013769.1,01cd17ab60523010f22903f8f90c4011,7,1,4,4,IS3;IS30;IS6;IS91
NZ_CP110783.1,01cd69866020603e66fe69627a014f2b,2,1,1,2,IS256
NZ_CP019909.1,01d986dc03c654997b0660b34d8aa150,2,0,0,0,
NZ_CP026496.1,01e0064a965a3d1a8a484dc53a0b951a,1,1,1,5,IS6
NC_017588.1,01e86f0af097373f13ddb463478e0490,3,1,1,2,IS1634
NZ_CP074662.1,01ec8a9e76fc6cbcac893f5726727113,1,0,0,0,
NZ_CP102388.1,01ee77e083812d673495e03621a6f430,1,1,1,2,IS6
NZ_CP096726.1,01ef8380d0105f067038cfe2f45346bf,2,0,0,0,
NZ_CP116977.1,01f1d2ab4a088aafb7a6490946e79655,2,1,2,3,IS6;IS66
NZ_CP031796.1,01f340e214eb0f7afaff1a11073a0eb2,5,1,0,1,
NZ_CP058918.1,01f37f4744101a640615532b8252fd23,3,1,1,2,IS1
NZ_OD940439.1,01fa9f63a43e1c0b6567f6870c16b8b7,1,1,1,2,IS6
NZ_CP140918.1,01faed632d93810b58e7a5ca0ef38ffa,4,1,1,3,IS21
NZ_CP019028.1,0207f464653a689168ef8ab268d0298e,4,1,2,2,IS1;IS6
NZ_LR135347.1,021129223890788b350db847f8822de6,1,0,0,0,
NZ_CP099714.1,02113ac59a5ee17ecc1b705e336cfd54,1,0,0,0,
NZ_CP027162.1,02122692e1255a98a6257b9d34758614,2,0,0,0,
NZ_CP096924.1,0212e3db1b73c6132fcbb8b9236bcc35,3,1,2,2,IS6;ISKRA4
NZ_CP022533.1,02144c8d3f8ef9cdaa78aacfb5bb37fe,5,1,1,6,IS6
NZ_CP053942.1,021579248520d9b54735ec2e3ef7aafd,4,0,0,0,
NZ_CP133488.1,021599b6e5cb9a25b2168d7fee6a7953,3,1,1,4,IS6
NZ_CP116964.1,0217ce58d38a24ce3cadb20f7d5094d0,2,1,1,2,IS6
NZ_CP058658.1,021944af61eab6fe3439bdfa8f8e3b72,4,1,2,3,IS1;IS6
NZ_CP038615.1,021c0d5567a44f35dcb5f35c36abd8b9,2,0,0,0,
NZ_CP039643.1,02216f0a98db68711ae328f5710cd3ae,1,0,0,0,
NZ_CP026058.1,022439523038a013a2d41e89f90100cf,5,1,2,2,IS5;IS6
NZ_CP016922.1,02292abd81bc02db8acc64d1674912a4,2,0,0,0,
NZ_CP066373.1,022c6dbd56eda23e0c543feceaebcd86,1,1,1,4,IS6
NZ_CP077945.1,022cef0206f67853256706bb7728131b,1,0,0,0,
NZ_CP021180.1,0231b467b25258b36f31100bd43b78f6,6,1,1,3,IS6
NZ_CP035815.1,023645850f0bc4d1a4157a2083428ccf,1,0,0,0,
NZ_CP068175.1,0236534563237376ddbf4f568eed5342,6,1,2,2,IS6;IS701
NZ_CP110118.1,023ab067a39fd7a0ba0d5c01a7ac8dce,5,1,1,2,IS6
NZ_CP020854.1,023bb16267cbb967c79a7b9f21fda95a,7,1,1,5,IS6
NZ_CP133211.1,023db09533c710134e63c7059f633c38,2,1,1,5,IS6
NZ_CP123662.1,024071afc9270ffc6daa0ad628737176,2,0,0,0,
NZ_CP126793.1,024539475fbee42455e52d180a9fbee1,2,1,1,3,IS6
NC_010553.1,0245b3c1a1a782800deed0888fbb190c,3,0,0,0,
NZ_CP034402.1,02490719dc748b0e636097258bf841d5,1,0,0,0,
NZ_CP009011.1,02492797ae9a8a9d223090139e675022,1,0,0,0,
NZ_CP069875.1,02590f7dfc63232792cd0724e34ea960,5,1,1,5,IS6
NZ_CP079809.1,0260ae9e916f3fa83804b5fb12cd500b,2,1,1,5,IS6
NZ_CP021076.1,026959b11fc302e670a42f4b04a9a264,4,0,0,0,
NZ_CP009327.1,027551c415e56cb7b11f8fc4dd894982,3,0,0,0,
NZ_CP125091.1,0275eda2172aa821795dbd0f26c081d0,1,1,1,5,IS6
NZ_CP042482.1,0276f75173d482b27b40b4740b9adba5,6,1,2,2,IS30;IS5
NZ_CP114407.1,027ac841ea4ed2bd47e22598d95c0b54,5,0,0,0,
NZ_CP040275.1,027c555215c2f2f4eb91aa0b4a3f9c7e,2,0,0,0,
NZ_CP029140.1,027caea3eccedbe878b2d10fddbba5eb,2,0,0,0,
NZ_CP117640.1,027d1a6bd35b0b4b3fdd874c0fb642cd,4,0,0,0,
NZ_CP027350.1,027dd8d19b1b46944d1a8aebea44e7c0,4,1,1,2,IS66
NZ_AP022129.1,027eda9ceafe19230a73099a6e569796,1,0,0,0,
NZ_CP127522.1,028103634339d8e603df6abbd3e3281a,1,1,1,2,IS6
NZ_CP014498.1,028580dffd47c6bd1e70f46ef726c5fa,5,1,1,6,IS6
NZ_LR890659.1,0285b6c77d2d719d63979317bb25fbeb,4,1,1,3,IS5
NZ_CP010630.1,02875b57cf2f2d69b6001fa3f15bb798,2,0,0,0,
NZ_AP024127.1,028e511c45f724dab30021714ebd8e0d,2,1,1,3,IS66
NZ_CP058410.1,0290cc4a4ed6a055d6ae16e85cf60411,2,1,1,3,IS91
NZ_CP039694.1,0296b52fe3ea17505d0689974d75fdf6,4,0,0,0,
NZ_CP109512.1,029e927d2ed4235f0ab0b3c3af4b9958,1,0,0,0,
NZ_AP022121.1,02a56a77aa59c7328971dbca446c408c,3,0,0,0,
NZ_CP050492.1,02acff1b30c9838f5e9a15157cb77bd7,1,0,0,0,
NZ_CP008991.1,02b45711db34855f85f7062bf9e04e6f,1,0,0,0,
NZ_CP022567.1,02b7a0dc69ee20cf5ead5910a4417bc2,1,0,0,0,
NZ_CP130107.1,02bc6ff390eb2bd33e9889552cc8f962,4,1,1,2,IS1
NZ_CP130077.1,02bf8fc2fd6b91efcdf41028a36e2463,4,1,1,2,IS1
NZ_CP022072.1,02c06ffa283367c6221fee5fe069452e,2,1,1,3,IS6
NZ_CP063447.1,02c9eee010fd596d4ed36e41e4a6b45b,5,0,0,0,
NZ_CP038636.1,02cbace9cbeaa7803e01c077212c6f4f,5,1,2,3,IS3;IS5
NZ_CP022735.1,02cdfa357244fef331ce3e1c1385c1c9,3,1,2,2,IS30;IS6
NZ_LR881464.1,02cecf567361835e7675e972ea12aa69,1,0,0,0,
NC_014908.1,02cefab08145656b5a2914f56a5ac85f,3,0,0,0,
NZ_CP013108.1,02d366eab052edc071816e6e63fbec91,2,0,0,0,
NZ_CP017563.2,02d4cf188bec129c0fd8ef000fbdb9e2,1,0,0,0,
NZ_CP051431.1,02db3a6ca77399d65622cd432895a379,3,1,1,4,IS6
NZ_CP032747.1,02df5a138cf714d8f7502bcb3b355786,1,0,0,0,
NZ_CP063452.1,02dfa5565d9c46fd579fc40beca33126,3,1,1,4,IS256
NZ_CP054974.1,02e2fa75420467875032d64330b14d7c,1,0,0,0,
NZ_CP106664.1,02e3ea2ff4544eedada3640023af8cb2,2,1,1,2,IS110
NZ_CP076502.1,02e567f9d30e4e8953035695bdf29115,1,1,1,2,IS6
NZ_CP055062.1,02ef1a3d2c18a0edf05126e288ce278b,8,1,2,5,IS5;IS6
NZ_CP066785.1,02f5695d76852285badbcca6190bc511,1,0,0,0,
NC_017134.1,02f76aeb1b9e8c2a74f98e885405ca88,5,1,2,2,IS1380;IS5
NZ_CP043834.1,02f777115710c4770d374ba43ec98b6a,1,0,0,0,
NZ_CP065088.1,02fafb14fba1eb9ba5821003f5e6636d,1,1,1,3,new
NZ_CP014677.1,02fce861e365fcb21dfb7c4dbb84efc9,5,0,0,0,
NZ_CP114513.1,02ff57d49c452db7a6b1e516e30b6f65,1,0,0,0,
NZ_CP097156.1,03022b7beaf303d8a1a176676f6d6620,1,1,0,1,
NZ_CP016740.2,030f8954051ed913e433c9bf9d38cf71,1,1,1,3,IS6
NZ_CP115691.1,03181e05c5e570dd07906a8188e7c76b,2,0,0,0,
NZ_AP023435.1,031c19dc376d3064e6b67239b8746920,4,1,1,2,IS1
NZ_CP036367.1,031ddd747688fe7d259cafcc3979fab4,1,1,1,2,IS6
NZ_CP013412.1,031e3928c08bccb9dfca8318c3f0f738,4,1,2,4,IS5;ISL3
NZ_CP133870.1,031ee2f564b7c8aad81c6fe634ea1267,2,0,0,0,
NZ_CP066632.1,03208708ac668e67a5a1ec9824326581,2,1,1,2,IS6
NZ_CP083660.1,03267b35834cf734344db53ee0dd5cc7,3,0,0,0,
NZ_CP047704.1,032a8282cb0f975d342a114776e1baaa,1,0,0,0,
NZ_CP115344.1,032bf3f021ea6df6de5348d5df6f9259,3,1,2,3,IS1;IS6
NZ_CP038420.1,033390ae730abd1c2afd1ac42c3e2dd0,2,0,0,0,
NZ_CP045548.1,0334e8bbb4552b0aff8d287e42d97c65,3,1,0,1,
NZ_CP066422.1,034001b5de98aebcac10e26482ccd5f2,8,1,3,2,IS3;IS30;IS66
NZ_CP096259.1,0346584dc897038f355631f4782cd8b0,4,1,0,1,
NC_017792.1,034affc95ed7b93d427bb68f0c2d660b,2,0,0,0,
NZ_CP084287.1,034db5a9d9ccc8b17ef4fe8fd4f72d1a,6,1,1,2,IS21
NC_017266.1,034dfcde92881f83085951de71f905ee,2,0,0,0,
NZ_CP047672.1,0352f31f5c289e7b8bb4af0ecdd72371,2,1,1,2,IS6
NZ_CP030830.1,035a1d21b527b962f9c88c09bbc84a88,3,0,0,0,
NZ_CP124539.1,035b35960e56610b96b3a179288302f3,1,0,0,0,
NZ_CP107428.1,035e193c2b148beb75cd8ad45d64f6b2,2,1,1,8,IS6
NZ_CP127179.1,035f2cd34d9b1bb40cc936070c62621e,1,0,0,0,
NZ_CP097381.1,03667df6964ac56554f885bc88af2140,2,1,1,2,IS6
NZ_CP084952.1,036d5402466adb29fee4b618f0f4a75b,2,1,1,2,IS3
NZ_CP018693.1,036d611f4e0396f2e5f60516aadbb62e,4,1,2,5,IS5;IS6
NZ_CP021510.1,036d6d1f50931cb6f1262b3c83836889,1,1,0,1,
NZ_CP032323.1,036d9a98d42f3c11e0d05e22b932ee24,2,1,1,2,IS110
NZ_CP018248.1,036f40e7105451fbdace87a0fab616e4,1,0,0,0,
NZ_CP139029.1,03713f200e02de6162e13836a8db6097,3,1,1,7,IS6
NZ_CP103973.1,0374b3036b37d5ed837e0e61a33fc024,5,1,0,1,
NZ_CP076236.1,037e0103c703f3e22dda8e4f2c347615,1,0,0,0,
NZ_CP094261.1,038153b0e761db02eab9c3464043d2a7,1,0,0,0,
NZ_LR890271.1,03824e95520c8cfe2657000c3bdb01c6,3,1,1,5,IS6
NZ_CP046004.1,038588ce03b5326c2229798f56f5a028,4,1,1,2,IS6
NZ_CP095156.1,038f595ee3ae63dce57bf67d98d03ce1,5,1,1,6,IS6
NZ_CP051689.1,039049514302314f56e39a03830a8184,1,0,0,0,
NZ_CP092115.1,03911384c8154c1dad89b75cd238dd7e,1,0,0,0,
NZ_CP124461.1,0391b8309addbd797bffc8dffeebbcef,3,0,0,0,
NZ_CP047730.1,03927a7ce202e4cb9b974262dfd6c480,6,1,1,5,IS6
NZ_CP068185.1,0399be6e3ef726fdfe016487da82b9d6,2,0,0,0,
NZ_CP053772.1,039baa95dd29dd0dacfec2c7a8cadbc3,7,1,1,4,IS6
NZ_CP100524.1,039cdedf139bd15cf2629552dab6ea60,2,0,0,0,
NZ_OY754840.1,03a1137e45bf2a5c09fa27d3a4a23367,7,1,1,2,IS6
NZ_CP045074.1,03a433223bd0b3b98042f89689beffad,1,0,0,0,
NZ_LR740760.1,03a5621778f7c14e11ba9887259498e4,2,0,0,0,
NZ_CP024250.1,03a6df9581b8e8f2d170c1a5859b711a,2,0,0,0,
NC_014533.1,03a863157356b9564bfb62336b81f16d,4,1,2,2,IS5;new
NZ_CP069894.1,03a9feb89efafa1501eb64f68d9d350b,4,0,0,0,
NZ_CP070289.2,03ab4ba1ac86263222524059cd0db868,3,1,0,1,
NZ_CP123223.1,03acc23a11c2de69fc22c50138cfc6d5,3,1,1,2,IS5
NZ_CP061834.1,03ad2609cb1a0677b51ab4ec38f683bc,3,1,1,3,IS6
NZ_CP070441.1,03af95339d660ebc3975fd9da67d9a64,5,1,1,2,IS6
NZ_CP017277.1,03b03ef117da85b4b0bb090a0986fd45,1,0,0,0,
NZ_CP045619.1,03b3508b81b61ac5e615ec5b7435b5ce,2,1,0,1,
NZ_CP026771.1,03b3f8c110270120ea48fb3f42b4e50e,10,1,1,2,IS91
NZ_CP044256.1,03b4818fe053c75d3611a6dba0448de2,3,1,1,2,IS4
NZ_CP123563.1,03b821cd2cbfc48cc047d0bbf5b5e47a,4,1,1,2,IS3
NZ_CP045750.1,03bb8c866f8712897ad922d754a0cee5,1,0,0,0,
NZ_CP027645.1,03bf5c254be33de9c0fd6bd59a08a610,2,1,0,1,
NZ_CP121004.1,03bf8af39120e70db5a3c8ab7ec8cb4d,1,0,0,0,
NZ_CP034085.1,03c2df8fdc4f94bc2b1cfa9ee55f95c2,2,0,0,0,
NZ_CP021364.1,03c38bd13e6f4b72440288c349de4dcc,1,0,0,0,
NZ_CP023419.1,03d30c9236fb149431a72487aa68653b,1,1,1,3,IS6
NZ_LR890617.1,03d3e3562a129fb86d518fe5d01ccb9d,5,1,1,4,IS6
NZ_CP076489.1,03d530bb7098a83eddfed0c83661a973,1,0,0,0,
NZ_CP009562.1,03dc1c149829e831e9cc0a9fb4d0aa3a,1,1,1,3,IS6
NZ_CP142992.1,03de2f9d280d4e3640fda7e930030352,2,1,1,3,IS6
NZ_CP103998.1,03e3ed3057f5a8e07b7eca259fdc6627,4,0,0,0,
NZ_CP047006.1,03e4cba9c67c3eddc95f4eb64286e893,1,0,0,0,
NZ_CP090345.1,03e8803af977dfe187b75c38b1c4336a,2,1,1,5,IS6
NZ_CP116070.1,03eb8c452a1486437b4a2ca4f25a77ee,4,0,0,0,
NZ_CP143324.1,03ec419316dfce643656287b5365ee6f,1,0,0,0,
NZ_CP055583.1,03ef6326935975310ee4a524fc5fc1a0,9,1,4,3,IS4;IS5;IS6;IS66
NZ_CP020951.1,03f34723ed8657e3cf8dbcca6ad846a8,1,1,1,2,IS4
NZ_CP080262.1,03f58e65fd47eb8380fe12a8e8c2ee05,2,0,0,0,
NZ_CP076554.1,03f7240dbb8bc048921bd1f897f57ede,2,1,1,11,IS6
NZ_CP085156.1,03f88a32373f476416bea03a42f1327c,3,1,1,2,IS6
NZ_AP027403.1,040109bd0307de40aeefb83f0c61e214,2,1,1,2,IS1
NZ_LR594663.1,0401b3577538d4b1fb12a1f13a3c3da9,5,1,2,2,IS110;IS1182
NZ_CP064131.1,0403bca964b31fb5d8f5951876e09f97,3,1,1,5,IS6
NZ_CP095392.1,04097ab15aafb56bb1689c73405066f2,9,1,1,3,new
NZ_CP015365.1,040cf902b7fba237ef1fc5f960ff62d2,1,1,1,2,IS30
NZ_CP019582.1,040de393044b9200a9267ac492b45f6b,1,0,0,0,
NZ_CP006757.1,0410d338c352d48bcce82cbf7401f5df,4,0,0,0,
NZ_CP010232.1,041ae50dd3ded735f459101e002c8195,4,1,1,3,IS6
NZ_CP110221.1,041b978cfcd69cb90cceea6bf442178e,1,0,0,0,
NZ_CP016623.1,041d7dc7ea54cca778efb7064d9ce3bb,1,0,0,0,
NZ_CP035958.1,041f792c649df51f523ad205fc4a0b00,4,0,0,0,
NZ_CP020829.1,041ffbdeddc7c009c9414bcc2016d343,1,1,1,2,IS6
NZ_CP023408.1,04253cf98c0bf7bab6fea1f5b5d7883a,3,0,0,0,
NZ_CP027056.1,0426ad9629081330b9dec743b86d2534,1,0,0,0,
NZ_CP087084.1,042902ea0588c19dff87fcb014b966eb,3,0,0,0,
NZ_CP027389.1,042c0a36b86549b46515ccb48f38999b,1,0,0,0,
NZ_CP070151.1,042e236ab33b81730e1e376094ff0ab5,3,1,1,2,IS1
NZ_AP023191.1,0432d2bebe23876cb50e3d6f595cd284,5,1,2,8,IS21;IS6
NZ_CP062767.1,0434ee95013c3f74aca151a0d826bcfb,1,0,0,0,
NZ_CP021185.1,043e2ecc6218e8b84f2feff81df0fc73,2,0,0,0,
NZ_CP020062.1,04400b54b79706004401fb7d52ca20cc,4,1,2,2,IS4;IS6
