md5,representative_acc,n_accessions,all_accessions
00689d3a741bb0e358b7aeeea5c65d1f,NZ_CP122640.1,1,NZ_CP122640.1
00697813a276b24f7eb883b298f864eb,NZ_CP081715.1,1,NZ_CP081715.1
006ad021728e48000718cb1bb1b2f3fd,NZ_CP026075.1,1,NZ_CP026075.1
006b0dfcbf0fbbac3e3dc0700d1ca723,NZ_CP080596.1,1,NZ_CP080596.1
006be7f382f44050f8b5ec1db55eb738,NZ_OW848790.1,1,NZ_OW848790.1
006c4aecb0473d2c48241c9efc8b2f06,NZ_CP128951.1,1,NZ_CP128951.1
006e30ff7f7b9c490c63585b53714887,NZ_LR890193.1,1,NZ_LR890193.1
006e85f97015bbfbeae156dfa31b6e4f,NZ_CP129273.1,1,NZ_CP129273.1
006fa2f2b80e2e7bba5c7a4fa9e19408,NC_020821.1,1,NC_020821.1
0070ac1594ab0ecb9e246a86d7eeec5a,NZ_AP019539.1,2,NZ_AP019539.1;NZ_AP022537.1
00725574f06673b6a38bfe86dddef039,NZ_CP103759.1,1,NZ_CP103759.1
00745945706fcd7284fa6037cdba0e69,NZ_CP027463.1,1,NZ_CP027463.1
00758c95e2d12136605d5161d7282e99,NZ_CP010146.1,1,NZ_CP010146.1
007c2b651a3b4c0bf9b0912be72731b7,NZ_CP027144.1,1,NZ_CP027144.1
007e599b5f2b3d27815b1877082eaea4,NZ_CP094275.1,1,NZ_CP094275.1
0084ac94ec9b9098918e91de3472372b,NZ_CP045638.1,1,NZ_CP045638.1
0085c7940a341d3be049ba340e23f2af,NZ_CP060862.1,1,NZ_CP060862.1
008951dfdf7ecf9f38d2e984c7f32721,NZ_CP030863.1,1,NZ_CP030863.1
008b1bb6ec2f6271ba31a1a71aadf991,NZ_CP082343.1,1,NZ_CP082343.1
008b6570afff456d24782cc663e50afc,NZ_CP102073.1,1,NZ_CP102073.1
0090487633edeb6711e3cd5727be687f,NZ_JAFFQV010000009.1,1,NZ_JAFFQV010000009.1
00937949f1ceb8d5b05f107e5673281c,NZ_CP140932.1,1,NZ_CP140932.1
0094893120f21366f302be6e45f7108a,NZ_CP100101.1,1,NZ_CP100101.1
0094e3b68ff5dfa89814241e9c9cb75e,NZ_CP085907.1,1,NZ_CP085907.1
009bc7f6c479c20157ffd6e40b85b894,NZ_CP060826.1,1,NZ_CP060826.1
009c5be2932d08be05078fa90b9b8ede,NZ_CP077102.1,1,NZ_CP077102.1
009f305e145bb6f02bde5fca998a61ce,NZ_AP022271.1,1,NZ_AP022271.1
009f382dc77ee9520fcce5e16abbec3f,NZ_CP060594.1,1,NZ_CP060594.1
00a372a04d5507e099b399b8f2ad7cf7,NZ_CP040171.1,1,NZ_CP040171.1
00a5029ebf7cf677deda9f897dbfb598,NZ_OY725768.1,1,NZ_OY725768.1
00a69b91cb9b2e908adab0b6ffd51075,NZ_CP091900.1,1,NZ_CP091900.1
00a9e7381a48422c10fd8d55581f2398,NZ_CP012123.1,1,NZ_CP012123.1
00ab9403bd5de4979419125ec11c1a63,NZ_CP114525.1,1,NZ_CP114525.1
00ad0dd0b4ccf6e6066996010f31c11a,NZ_CP090208.1,1,NZ_CP090208.1
00ae673f2e5aee4a70257e74bbc79835,NZ_CP043647.1,1,NZ_CP043647.1
00b0e8e3a16bfebc8f1e4adfbf8f6299,NZ_CP086876.1,1,NZ_CP086876.1
00b3f6c379df587fc43ec0c4969403fd,NZ_CP114875.1,1,NZ_CP114875.1
00b70c82e949725839696cfcb55b03dd,NZ_CP134808.1,1,NZ_CP134808.1
00b8c22ee541cf8ae40d17385b7dd4ba,NZ_CP115475.1,1,NZ_CP115475.1
00bd57c3716d631f47dc5f850cb12f55,NZ_CP053646.1,1,NZ_CP053646.1
00c2448f446aa228a667c2f78c934964,NZ_CP087646.1,1,NZ_CP087646.1
00c31f02cb369204a3f031ad456baed9,NZ_CP100709.1,1,NZ_CP100709.1
00c84d0c711360cd407ac74652d22ed6,NZ_CP090644.1,1,NZ_CP090644.1
00cfd86ac77ad8f825f08a08dda125d3,NZ_CP109972.1,1,NZ_CP109972.1
00d2237ccedd8d548b3eaac2c16e7917,NZ_CP064400.1,1,NZ_CP064400.1
00d4c95e0413240fc8f4748c1ff619f0,NZ_CP013519.1,1,NZ_CP013519.1
00d612dad18664af4224ad79872d7348,NZ_CP029324.1,1,NZ_CP029324.1
00d732261d92bc9c2c07f2e06b23153a,NC_005232.1,2,NC_005232.1;NC_020297.1
00d88c0c59fd265225e6c2a8ed0d57ce,NZ_CP012289.1,1,NZ_CP012289.1
00df1088def04c9bae7d82c652ad60ea,NZ_CP067373.1,1,NZ_CP067373.1
00e1f5e49526ecea37fd0f8c7801836f,NZ_CP021826.1,1,NZ_CP021826.1
00e2e946bd569dcb7168d0079a267deb,NZ_CP126027.1,1,NZ_CP126027.1
00e5735c178daafa438efe7bd8f63a22,NZ_CP023378.1,1,NZ_CP023378.1
00ee5effa12b76ef19c5c8161c89aef7,NZ_CP033245.1,1,NZ_CP033245.1
00f3749a9987a6df81bd5bb9fa6adf04,NZ_CP107166.1,1,NZ_CP107166.1
00f64ae38570903f78f070309d0a074d,NZ_CP026421.1,1,NZ_CP026421.1
00f828673b8796731a0bf41c11557a7b,NZ_CP097722.1,1,NZ_CP097722.1
00f85ce6f51a89379ac5facfbcaefb75,NC_011887.1,1,NC_011887.1
00fa66fed4e0352b11b0a2d4a9b66fd5,NZ_CP104000.1,1,NZ_CP104000.1
00fb0d627fc40ac301dbedb439ed5c30,NC_007678.1,1,NC_007678.1
0104855415a8de25db43f8d09fbc232a,NZ_CP037807.1,1,NZ_CP037807.1
010a6eaad2639804617cf62bb9ec525e,NZ_CP093227.1,1,NZ_CP093227.1
010c25786abe030b32511d816cf04f59,NZ_CP049244.1,1,NZ_CP049244.1
010e3aa6261eb646ea9fb98af053edb6,NZ_CP110070.1,1,NZ_CP110070.1
01102826811175c18fec54601f9b8c37,NZ_CP128603.1,1,NZ_CP128603.1
01162da81ff976ab3283cf78cd7f59fd,NZ_AP023207.1,1,NZ_AP023207.1
0116b0c429a95bb112a29d2f11d63fb6,NZ_CP113792.1,1,NZ_CP113792.1
0116ddecd7c044d03e6af0402dfd46da,NZ_CP056568.1,1,NZ_CP056568.1
011903b797fa91cb0a57ef980149f71f,NZ_CP034154.1,1,NZ_CP034154.1
0119e7592af730f7a32fe3d36578eb19,NZ_CP053868.1,2,NZ_CP053868.1;NZ_CP053873.1
011bf3c8f1276e75c1e7ec1cec9aaae5,NZ_CP032756.1,1,NZ_CP032756.1
011c59368a1921d6882adf524dc2c465,NZ_LR890362.1,1,NZ_LR890362.1
011c867d07c18d234e77fdd978a84b0b,NZ_CP007736.1,1,NZ_CP007736.1
011daa85f2029df60ae7c1e2c87f61c8,NZ_CP049829.1,1,NZ_CP049829.1
011e05d431e0fbe15941673d88f28848,NZ_CP070027.1,1,NZ_CP070027.1
01207744ba9e5fd116ee0bad4b33c707,NZ_CP045454.1,1,NZ_CP045454.1
0122494e19ac06cb1d4dc4eae90496e7,NZ_CP128593.1,1,NZ_CP128593.1
01257b2eceddfd6252669ac5b7c462cb,NC_010478.1,1,NC_010478.1
0125d8c7510e7058cbe681853b1c0471,NZ_CP083480.1,1,NZ_CP083480.1
012e6ce75a82409b8259b5682d7d371b,NZ_CP129870.1,1,NZ_CP129870.1
01305b6d375a010236f60daf69c17dba,NZ_CP015339.1,1,NZ_CP015339.1
01306bf50adcd455701baa7a57dde759,NZ_LN831303.1,1,NZ_LN831303.1
01335c4bb141fb4cccf432670cb95739,NZ_CP023646.1,1,NZ_CP023646.1
0134bc0a3dd4f24bf9a614a870409a7a,NZ_CP068167.1,1,NZ_CP068167.1
0137e71232d3e01b93bc099f1b410004,NZ_LR134219.1,1,NZ_LR134219.1
0139b0ea672ae92f16d054bfc73bb451,NZ_CP072150.1,1,NZ_CP072150.1
013c505b1c972a4e207d76c5fa3b3d6d,NZ_CP018968.1,1,NZ_CP018968.1
01447bb80efbe3cabd352c01b8e196f4,NZ_CP089543.1,1,NZ_CP089543.1
01456465bfb8ca069ad967242a803a21,NZ_CP102307.1,1,NZ_CP102307.1
0147f974a744f0be9a1674f0843d2333,NC_017064.1,1,NC_017064.1
0149283f8a026143f98587f618dafd28,NZ_CP114593.1,1,NZ_CP114593.1
014b5a213e7e797f465a2fd1522882e8,NZ_CP135452.1,1,NZ_CP135452.1
014f9580e4af9e18436ab14ce9e5ce9f,NZ_CP029135.1,1,NZ_CP029135.1
01574ccdecceb5a09e627adbf6832c0c,NZ_CP026025.1,1,NZ_CP026025.1
015a63e878588f0e7035e1d33def7d80,NZ_CP069967.1,1,NZ_CP069967.1
015cc55d7c615f99a08dfb9fc0fda302,NZ_CP060903.1,1,NZ_CP060903.1
015f61a26bb13fce163f03f65ba939b8,NZ_CP082282.1,1,NZ_CP082282.1
015fe272d888df7f6ba8f24f4e385b73,NZ_CP091939.1,1,NZ_CP091939.1
0162e6f42bd4519f1753c38cfe829cb4,NZ_CP086202.1,1,NZ_CP086202.1
0166468befcbdeaf6b540ca53753c677,NZ_CP027588.1,1,NZ_CP027588.1
01680231eecfbe9780aa3c959805e81d,NZ_CP128485.1,1,NZ_CP128485.1
016829ca320ad780e4d4b95fa673147c,NZ_LT969521.1,1,NZ_LT969521.1
016b97c2f9de4209fbb15d8c7f07d006,NZ_CP066439.1,1,NZ_CP066439.1
016c69d3521a5cc6acd0744d8901f2d0,NZ_CP120543.1,1,NZ_CP120543.1
0171226d84c816d96305055778722674,NZ_CP141187.1,1,NZ_CP141187.1
0177507d8d66e73158bdaebeabc39b08,NZ_CP096989.1,1,NZ_CP096989.1
0181f42a007a0f7aafd77060a5d1a8cf,NZ_CP067368.1,1,NZ_CP067368.1
018644f73c0a4515312c2b0f61620bbf,NZ_AP022980.1,1,NZ_AP022980.1
0186e5f6494484e2291d017e8a473263,NZ_CP045373.1,1,NZ_CP045373.1
0187018ee065c0d30741bb59872f4baf,NZ_CP062907.1,1,NZ_CP062907.1
018b88cde8deb44275d90b1bda9dafd5,NZ_CP085391.1,1,NZ_CP085391.1
018de0d4deadb0f030c5562ff5c30449,NC_015060.1,1,NC_015060.1
018fe18f6bd8fc0ee3dc80a70751ea0a,NZ_CP008842.1,1,NZ_CP008842.1
019040dc62e1fcc517ce67c59271b625,NZ_CP064106.1,1,NZ_CP064106.1
0191daafed8a24605ac45bda67f4b113,NZ_CP137479.1,1,NZ_CP137479.1
0192c94de7b4e82f11ae218004cbfd97,NZ_CP044294.1,1,NZ_CP044294.1
0193da6954d8499fc00262db9d082726,NZ_CP006588.1,1,NZ_CP006588.1
0194e699ff7259a1b2a3f5c8a99737af,NZ_CP047572.1,1,NZ_CP047572.1
0195a88fa0871081b894c38380ffca72,NZ_CP063398.1,1,NZ_CP063398.1
0198bac78309fddb6a8fbcce40582bef,NZ_CP029792.1,1,NZ_CP029792.1
019fb156c2368ced50b81a84714de3f4,NZ_LR135352.1,1,NZ_LR135352.1
01a0a6ce9701c56180f9188a92dad1e0,NZ_CP022269.1,1,NZ_CP022269.1
01a13d2c45b01049cc6e88334551ad13,NZ_CP023307.1,1,NZ_CP023307.1
01a3b952c5e6183dd765de9600107eb3,NZ_CP036366.1,1,NZ_CP036366.1
01a5d9d1cb3fed99dfb0bebd752ca55d,NZ_CP048467.1,1,NZ_CP048467.1
01a6d0190bef173e83df99344b841b19,NZ_CP055200.1,1,NZ_CP055200.1
01a6d058fdcc08cb4b28dfd5e0902ec3,NZ_CP110311.1,1,NZ_CP110311.1
01a89071af1edc5c64b108877a2217cd,NZ_CP072063.1,1,NZ_CP072063.1
01a9e6b1c629e853a692ce5a102320bf,NZ_CP024656.1,1,NZ_CP024656.1
01aa86a969f61676ab98f436bd7905f2,NZ_CP079755.1,1,NZ_CP079755.1
01ab3af0b4e7eacfac34b743f7d00820,NZ_CP010373.2,1,NZ_CP010373.2
01ae3debca9354e331b20e61624322ba,NZ_CP027156.1,1,NZ_CP027156.1
01b2e9f4691c655ce45d6905a5e9a4b0,NZ_CP142856.1,1,NZ_CP142856.1
01b45237e917fc86c4ad070cce2f147b,NZ_CP071450.1,1,NZ_CP071450.1
01b5731d51690d4b5854f01894a8e582,NZ_CP044317.1,1,NZ_CP044317.1
01b9c02d9a5573632be0ea155d9437f4,NZ_CP018451.1,1,NZ_CP018451.1
01ba10e29657bc33d4fbaf677e807d9d,NZ_OW968290.1,1,NZ_OW968290.1
01bfb89241401d937f7d7d132f85713d,NZ_CP117603.1,1,NZ_CP117603.1
01c1de9fdc0c6f0340b0060f4bfbe964,NZ_CP035908.1,1,NZ_CP035908.1
01c9a117e9ce16e8991b2acbd4ad67a5,NZ_CP093453.1,1,NZ_CP093453.1
01cd17ab60523010f22903f8f90c4011,NZ_CP013769.1,1,NZ_CP013769.1
01cd69866020603e66fe69627a014f2b,NZ_CP110783.1,1,NZ_CP110783.1
01d986dc03c654997b0660b34d8aa150,NZ_CP019909.1,1,NZ_CP019909.1
01e0064a965a3d1a8a484dc53a0b951a,NZ_CP026496.1,1,NZ_CP026496.1
01e86f0af097373f13ddb463478e0490,NC_017588.1,1,NC_017588.1
01ea228d51452e3329208ab243af226d,NZ_CP124870.1,1,NZ_CP124870.1
01ec8a9e76fc6cbcac893f5726727113,NZ_CP074662.1,1,NZ_CP074662.1
01ee77e083812d673495e03621a6f430,NZ_CP102388.1,1,NZ_CP102388.1
01ef8380d0105f067038cfe2f45346bf,NZ_CP096726.1,1,NZ_CP096726.1
01f1d2ab4a088aafb7a6490946e79655,NZ_CP116977.1,1,NZ_CP116977.1
01f340e214eb0f7afaff1a11073a0eb2,NZ_CP031796.1,1,NZ_CP031796.1
01f37f4744101a640615532b8252fd23,NZ_CP058918.1,1,NZ_CP058918.1
01fa9f63a43e1c0b6567f6870c16b8b7,NZ_OD940439.1,1,NZ_OD940439.1
01faed632d93810b58e7a5ca0ef38ffa,NZ_CP140918.1,1,NZ_CP140918.1
020126813edf3efd9190537a56730057,NZ_CP038385.1,1,NZ_CP038385.1
0207f464653a689168ef8ab268d0298e,NZ_CP019028.1,1,NZ_CP019028.1
021129223890788b350db847f8822de6,NZ_LR135347.1,1,NZ_LR135347.1
02113ac59a5ee17ecc1b705e336cfd54,NZ_CP099714.1,1,NZ_CP099714.1
02122692e1255a98a6257b9d34758614,NZ_CP027162.1,1,NZ_CP027162.1
0212e3db1b73c6132fcbb8b9236bcc35,NZ_CP096924.1,1,NZ_CP096924.1
02144c8d3f8ef9cdaa78aacfb5bb37fe,NZ_CP022533.1,1,NZ_CP022533.1
021579248520d9b54735ec2e3ef7aafd,NZ_CP053942.1,1,NZ_CP053942.1
021599b6e5cb9a25b2168d7fee6a7953,NZ_CP133488.1,1,NZ_CP133488.1
0215e5889c31bfd490d29e5c92f3ec40,NZ_CP029836.1,1,NZ_CP029836.1
0217ce58d38a24ce3cadb20f7d5094d0,NZ_CP116964.1,1,NZ_CP116964.1
021944af61eab6fe3439bdfa8f8e3b72,NZ_CP058658.1,1,NZ_CP058658.1
021c0d5567a44f35dcb5f35c36abd8b9,NZ_CP038615.1,1,NZ_CP038615.1
021c6fb45747e60b9427a168ad122b03,NZ_CP123862.1,1,NZ_CP123862.1
02216f0a98db68711ae328f5710cd3ae,NZ_CP039643.1,1,NZ_CP039643.1
02240b78ca212811ff06d3617ffa447d,NZ_CP134730.1,1,NZ_CP134730.1
022439523038a013a2d41e89f90100cf,NZ_CP026058.1,1,NZ_CP026058.1
02292abd81bc02db8acc64d1674912a4,NZ_CP016922.1,1,NZ_CP016922.1
0229617e5e95459c6ae8d3c3217fc9bb,NZ_CP040789.1,1,NZ_CP040789.1
022c6dbd56eda23e0c543feceaebcd86,NZ_CP066373.1,1,NZ_CP066373.1
022cef0206f67853256706bb7728131b,NZ_CP077945.1,1,NZ_CP077945.1
022e70fc29b8b836cb9de149a85bb8b6,NZ_CP123576.1,1,NZ_CP123576.1
0231b467b25258b36f31100bd43b78f6,NZ_CP021180.1,1,NZ_CP021180.1
023645850f0bc4d1a4157a2083428ccf,NZ_CP035815.1,1,NZ_CP035815.1
0236534563237376ddbf4f568eed5342,NZ_CP068175.1,1,NZ_CP068175.1
023a51b625618986575300f25e0e1153,NZ_CP107023.1,1,NZ_CP107023.1
023ab067a39fd7a0ba0d5c01a7ac8dce,NZ_CP110118.1,1,NZ_CP110118.1
023bb16267cbb967c79a7b9f21fda95a,NZ_CP020854.1,1,NZ_CP020854.1
023caa44cfaf7070992f335194598f41,NZ_CP058328.1,1,NZ_CP058328.1
023db09533c710134e63c7059f633c38,NZ_CP133211.1,1,NZ_CP133211.1
024071afc9270ffc6daa0ad628737176,NZ_CP123662.1,1,NZ_CP123662.1
024231e0dc57b462805dfbfb26c30b91,NZ_CP072245.1,1,NZ_CP072245.1
024539475fbee42455e52d180a9fbee1,NZ_CP126793.1,1,NZ_CP126793.1
0245b3c1a1a782800deed0888fbb190c,NC_010553.1,1,NC_010553.1
0246443cdce79af237d7cb292c8a9d43,NZ_CP101659.1,1,NZ_CP101659.1
02490719dc748b0e636097258bf841d5,NZ_CP034402.1,1,NZ_CP034402.1
02492797ae9a8a9d223090139e675022,NZ_CP009011.1,1,NZ_CP009011.1
024a7bf58e22b7e27a0c28d3d1202e94,NZ_CP124464.1,1,NZ_CP124464.1
025241fe566fbd321bbbe33c67443803,NZ_CP019215.2,1,NZ_CP019215.2
02590f7dfc63232792cd0724e34ea960,NZ_CP069875.1,1,NZ_CP069875.1
0260ae9e916f3fa83804b5fb12cd500b,NZ_CP079809.1,1,NZ_CP079809.1
02641618620a488049a9273ae62c0896,NZ_CP021287.1,1,NZ_CP021287.1
026959b11fc302e670a42f4b04a9a264,NZ_CP021076.1,1,NZ_CP021076.1
027324a1a93d802d3631a220ee4c843d,NZ_CP011640.1,1,NZ_CP011640.1
027537943f33ce3fd71c1dbb3bd668a5,NZ_CP023385.1,1,NZ_CP023385.1
027551c415e56cb7b11f8fc4dd894982,NZ_CP009327.1,1,NZ_CP009327.1
0275eda2172aa821795dbd0f26c081d0,NZ_CP125091.1,1,NZ_CP125091.1
0276f75173d482b27b40b4740b9adba5,NZ_CP042482.1,1,NZ_CP042482.1
027ac841ea4ed2bd47e22598d95c0b54,NZ_CP114407.1,1,NZ_CP114407.1
027aeef988135e292a8b4b329d92834f,NZ_CP066068.1,1,NZ_CP066068.1
027c555215c2f2f4eb91aa0b4a3f9c7e,NZ_CP040275.1,1,NZ_CP040275.1
027caea3eccedbe878b2d10fddbba5eb,NZ_CP029140.1,1,NZ_CP029140.1
027d1a6bd35b0b4b3fdd874c0fb642cd,NZ_CP117640.1,1,NZ_CP117640.1
027dd8d19b1b46944d1a8aebea44e7c0,NZ_CP027350.1,1,NZ_CP027350.1
027eda9ceafe19230a73099a6e569796,NZ_AP022129.1,1,NZ_AP022129.1
028103634339d8e603df6abbd3e3281a,NZ_CP127522.1,1,NZ_CP127522.1
028580dffd47c6bd1e70f46ef726c5fa,NZ_CP014498.1,1,NZ_CP014498.1
0285b6c77d2d719d63979317bb25fbeb,NZ_LR890659.1,1,NZ_LR890659.1
0285f2a7a3080eee7d8c0f78775dd35a,NZ_CP099715.1,1,NZ_CP099715.1
02875b57cf2f2d69b6001fa3f15bb798,NZ_CP010630.1,1,NZ_CP010630.1
028e511c45f724dab30021714ebd8e0d,NZ_AP024127.1,1,NZ_AP024127.1
029062d460c63ab059455657c088dbbe,NZ_CP143401.1,1,NZ_CP143401.1
0290cc4a4ed6a055d6ae16e85cf60411,NZ_CP058410.1,1,NZ_CP058410.1
0296b52fe3ea17505d0689974d75fdf6,NZ_CP039694.1,1,NZ_CP039694.1
029e927d2ed4235f0ab0b3c3af4b9958,NZ_CP109512.1,1,NZ_CP109512.1
02a3def1910a7e4d5e366084a2084712,NZ_CP030873.1,1,NZ_CP030873.1
02a56a77aa59c7328971dbca446c408c,NZ_AP022121.1,1,NZ_AP022121.1
02a62f4b4915d72cb40d8592bd12f699,NZ_CP033392.2,1,NZ_CP033392.2
02acff1b30c9838f5e9a15157cb77bd7,NZ_CP050492.1,1,NZ_CP050492.1
02ade09d469fd10b3ddde75b6419bdac,NZ_CP106891.1,1,NZ_CP106891.1
02aee67edbdc0ef047ea6150a08b1294,NZ_LR594676.1,1,NZ_LR594676.1
02b45711db34855f85f7062bf9e04e6f,NZ_CP008991.1,1,NZ_CP008991.1
02b4d73b9aaa6651a415283abec75fcf,NZ_CP084838.1,1,NZ_CP084838.1
02b7a0dc69ee20cf5ead5910a4417bc2,NZ_CP022567.1,1,NZ_CP022567.1
02bc6ff390eb2bd33e9889552cc8f962,NZ_CP130107.1,1,NZ_CP130107.1
02bf1ce7dd6351084e415f8873a500df,NZ_CP128258.1,1,NZ_CP128258.1
02bf8fc2fd6b91efcdf41028a36e2463,NZ_CP130077.1,1,NZ_CP130077.1
02c06ffa283367c6221fee5fe069452e,NZ_CP022072.1,1,NZ_CP022072.1
02c3fce0733901fe2d7ac130c99b6c30,NZ_AP025161.1,1,NZ_AP025161.1
02c9eee010fd596d4ed36e41e4a6b45b,NZ_CP063447.1,1,NZ_CP063447.1
02cbace9cbeaa7803e01c077212c6f4f,NZ_CP038636.1,1,NZ_CP038636.1
02cdfa357244fef331ce3e1c1385c1c9,NZ_CP022735.1,1,NZ_CP022735.1
02cecf567361835e7675e972ea12aa69,NZ_LR881464.1,1,NZ_LR881464.1
02cefab08145656b5a2914f56a5ac85f,NC_014908.1,1,NC_014908.1
02d366eab052edc071816e6e63fbec91,NZ_CP013108.1,1,NZ_CP013108.1
02d4cf188bec129c0fd8ef000fbdb9e2,NZ_CP017563.2,1,NZ_CP017563.2
02d7185a6768b15d5f352be3a114e928,NZ_CP110950.1,4,NZ_CP110950.1;NZ_CP110955.1;NZ_CP110960.1;NZ_CP110965.1
02db3a6ca77399d65622cd432895a379,NZ_CP051431.1,1,NZ_CP051431.1
02df5a138cf714d8f7502bcb3b355786,NZ_CP032747.1,1,NZ_CP032747.1
02dfa5565d9c46fd579fc40beca33126,NZ_CP063452.1,1,NZ_CP063452.1
02e22b93b9b0df155bbe6b6a43504623,NZ_CP138690.1,1,NZ_CP138690.1
02e2fa75420467875032d64330b14d7c,NZ_CP054974.1,1,NZ_CP054974.1
02e3ea2ff4544eedada3640023af8cb2,NZ_CP106664.1,1,NZ_CP106664.1
02e567f9d30e4e8953035695bdf29115,NZ_CP076502.1,1,NZ_CP076502.1
02e65d37f3d6f9e5165f4450ed4a43ec,NZ_CP111065.1,1,NZ_CP111065.1
02ef1a3d2c18a0edf05126e288ce278b,NZ_CP055062.1,1,NZ_CP055062.1
02f5695d76852285badbcca6190bc511,NZ_CP066785.1,1,NZ_CP066785.1
02f76aeb1b9e8c2a74f98e885405ca88,NC_017134.1,1,NC_017134.1
02f777115710c4770d374ba43ec98b6a,NZ_CP043834.1,1,NZ_CP043834.1
02f959fc02dfbe73764cda126feb7b66,NZ_CP090612.1,1,NZ_CP090612.1
02fafb14fba1eb9ba5821003f5e6636d,NZ_CP065088.1,1,NZ_CP065088.1
02fb0cd04c5bd9e9ba084473cdc9e93a,NZ_CP015161.1,1,NZ_CP015161.1
02fce861e365fcb21dfb7c4dbb84efc9,NZ_CP014677.1,1,NZ_CP014677.1
02ff57d49c452db7a6b1e516e30b6f65,NZ_CP114513.1,1,NZ_CP114513.1
03022b7beaf303d8a1a176676f6d6620,NZ_CP097156.1,1,NZ_CP097156.1
030f8954051ed913e433c9bf9d38cf71,NZ_CP016740.2,1,NZ_CP016740.2
031296657cb87d36e7827fd0741ee886,NZ_OW970497.1,1,NZ_OW970497.1
0316457c7604094bfad0c3df923837a3,NZ_AP025207.1,1,NZ_AP025207.1
03181e05c5e570dd07906a8188e7c76b,NZ_CP115691.1,1,NZ_CP115691.1
03183c491e77d028c6188cbed001868f,NZ_AP023251.1,1,NZ_AP023251.1
03183decc7b9e30aa4ee2cbe0ba56c64,NZ_CP117172.1,1,NZ_CP117172.1
0319df56a3f618d9da854540aab3f32c,NZ_CP109997.1,1,NZ_CP109997.1
031c19dc376d3064e6b67239b8746920,NZ_AP023435.1,1,NZ_AP023435.1
031c53a9c052a6859ea09a4a3133c5fd,NZ_CP017189.2,1,NZ_CP017189.2
031ddd747688fe7d259cafcc3979fab4,NZ_CP036367.1,1,NZ_CP036367.1
031e3928c08bccb9dfca8318c3f0f738,NZ_CP013412.1,1,NZ_CP013412.1
031ee2f564b7c8aad81c6fe634ea1267,NZ_CP133870.1,1,NZ_CP133870.1
