accession,md5,locus_tag,product,regex_match,category,rohan_transposase_count
NZ_CP029363.1,079e6ca93b5e5dda88b122661a56a8ae,DIJ69_RS35925,NF041680 family putative transposase,transposase,other_transposase_or_IS,1
NZ_CP029363.1,079e6ca93b5e5dda88b122661a56a8ae,DIJ69_RS34455,IS5 family transposase,IS,other_transposase_or_IS,1
NZ_CP083717.1,081b2d0341def724eb987f956b4482ec,LAZ96_RS20690,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP087100.1,08684a62e072db40115201be2ee69145,LOR37_RS23020,IS91 family transposase,IS,other_transposase_or_IS,2
NZ_CP087100.1,08684a62e072db40115201be2ee69145,LOR37_RS23855,IS91 family transposase,IS,other_transposase_or_IS,2
NZ_CP087100.1,08684a62e072db40115201be2ee69145,LOR37_RS23095,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP087100.1,08684a62e072db40115201be2ee69145,LOR37_RS23260,IS30 family transposase,IS,other_transposase_or_IS,2
NZ_CP084756.1,0885cf882acf31550cedbc5fd92ca55c,LHK14_RS27830,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP084756.1,0885cf882acf31550cedbc5fd92ca55c,LHK14_RS27910,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP086782.1,08929e768868c2046bd0b8db4cbf511b,LOE40_RS22685,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_AP022467.1,08ad7511c48b57fa893baa997655ddf6,JLF42_RS25775,Tn3-like element Tn5403 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP055424.1,08d7820fe5d5c459e55a349e7808dfe4,HV304_RS26250,transposase,transposase,other_transposase_or_IS,1
NZ_CP081072.1,08def97d4b1dabb917ae275b5ac04db7,K3721_RS19360,transposase,transposase,other_transposase_or_IS,1
NZ_CP081072.1,08def97d4b1dabb917ae275b5ac04db7,K3721_RS19365,IS66 family transposase,IS,other_transposase_or_IS,1
NZ_CP107997.1,08e37ffdb38af97ac2d9a96e7b1a0486,OHS16_RS31885,transposase family protein,transposase,other_transposase_or_IS,2
NZ_CP107997.1,08e37ffdb38af97ac2d9a96e7b1a0486,OHS16_RS31955,ISAs1 family transposase,IS,other_transposase_or_IS,2
NZ_CP107997.1,08e37ffdb38af97ac2d9a96e7b1a0486,OHS16_RS31965,transposase family protein,transposase,other_transposase_or_IS,2
NC_015694.1,094c337acee4cdee027ebc09878608f2,RUNSL_RS28645,TraG family conjugative transposon ATPase,transposon,other_transposase_or_IS,4
NC_015694.1,094c337acee4cdee027ebc09878608f2,RUNSL_RS28660,conjugative transposon protein TraK,transposon,other_transposase_or_IS,4
NC_015694.1,094c337acee4cdee027ebc09878608f2,RUNSL_RS28670,conjugative transposon protein TraM,transposon,other_transposase_or_IS,4
NC_015694.1,094c337acee4cdee027ebc09878608f2,RUNSL_RS28675,conjugative transposon protein TraN,transposon,other_transposase_or_IS,4
NZ_CP054168.1,099201ea8d4d9dad5b40d1211b3bf235,HRS04_RS00070,Tn3-like element Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP049103.1,09c62952b6c42bce6fffe22500f5f88b,G5V60_RS25200,IS481-like element ISKpn28 family transposase,IS,other_transposase_or_IS,2
NZ_CP049103.1,09c62952b6c42bce6fffe22500f5f88b,G5V60_RS25260,IS1380-like element ISEcp1 family transposase,IS,other_transposase_or_IS,2
NZ_CP036126.1,09fd0e642c533b4aa2b6ad6424415d6d,EXW55_RS29690,insecticidal delta-endotoxin domain-containing protein,ins,unclear_likely_false_positive,1
NZ_CP095729.1,0a91e31d0ee9b8f8d1ee40d7246cb25e,AS079_RS14705,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP025338.2,0a92bbf9c03e07a13b72d08db5eaf56e,CTI29_RS24940,transposase,transposase,other_transposase_or_IS,1
NZ_CP083549.1,0afb36fd3ceea2761d2900e649399c5b,K3724_RS22830,transposase,transposase,other_transposase_or_IS,1
NZ_LS992173.1,0b2c669f5c9de57358ec4fd0d85a1b88,ECTO73_RS24050,Tn3-like element Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_OY725914.1,0b5018925343755a9d7e095c9a75610d,UHF62_RS07290,membrane protein insertase YidC,ins,unclear_likely_false_positive,1
NZ_CP043272.1,0b91d64502f1ce08b2a6aabe044984c5,FYK17_RS22280,IS200/IS605-like element IS200C family transposase,IS,other_transposase_or_IS,2
NZ_CP043272.1,0b91d64502f1ce08b2a6aabe044984c5,FYK17_RS22385,defense against restriction DarA-related protein,ins,unclear_likely_false_positive,2
NZ_CP043272.1,0b91d64502f1ce08b2a6aabe044984c5,FYK17_RS22445,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP046625.1,0bc0f0ffdd6eb04d144d2ec55863777a,GO995_RS09390,ISLre2 family transposase,IS,other_transposase_or_IS,1
NZ_AP018670.1,0c1d2c7c7e87f61a5c288bfb97792298,SAMIE_RS23160,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP064335.1,0c22c4e9cef8b6dab7a534980414b255,IUD20_RS11540,RNA-guided endonuclease InsQ/TnpB family protein,Ins,other_transposase_or_IS,1
NZ_CP081157.1,0c5fe773c9f732566139964408ea332c,K3551_RS18675,IS110 family RNA-guided transposase,IS,other_transposase_or_IS,1
NZ_CP039125.1,0c9557a6bdb06a2243d0826d0fdaf74a,CYL17_RS18300,transposase,transposase,other_transposase_or_IS,4
NZ_CP039125.1,0c9557a6bdb06a2243d0826d0fdaf74a,CYL17_RS18305,RNA-guided endonuclease InsQ/TnpB family protein,Ins,other_transposase_or_IS,4
NZ_CP039125.1,0c9557a6bdb06a2243d0826d0fdaf74a,CYL17_RS18465,RNA-guided endonuclease InsQ/TnpB family protein,Ins,other_transposase_or_IS,4
NZ_CP039125.1,0c9557a6bdb06a2243d0826d0fdaf74a,CYL17_RS18725,RNA-guided endonuclease InsQ/TnpB family protein,Ins,other_transposase_or_IS,4
NZ_CP039125.1,0c9557a6bdb06a2243d0826d0fdaf74a,CYL17_RS18880,transposase,transposase,other_transposase_or_IS,4
NZ_CP039125.1,0c9557a6bdb06a2243d0826d0fdaf74a,CYL17_RS18885,RNA-guided endonuclease InsQ/TnpB family protein,Ins,other_transposase_or_IS,4
NZ_CP016469.1,0ca49b1ece39ecaee73b14df3f3d9549,A4W75_RS10695,IS30-like element ISLpl1 family transposase,IS,other_transposase_or_IS,1
NZ_CP058136.1,0cdec409b77a66375f227fd72a8a6254,HV092_RS27810,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP039152.1,0d47d1dee8369b8e0963e1363368b75f,E5Y90_RS17175,IS4-like element ISAbe18 family transposase,IS,other_transposase_or_IS,1
NZ_CP030243.1,0d5693a3833b972f75d2e30134a16342,DQF64_RS14675,IS607 family transposase,IS,other_transposase_or_IS,2
NZ_CP030243.1,0d5693a3833b972f75d2e30134a16342,DQF64_RS14680,RNA-guided endonuclease InsQ/TnpB family protein,Ins,other_transposase_or_IS,2
NZ_CP025504.1,0d5eaeceae1137feaccf68c9af12293e,CYK96_RS16775,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,1
NZ_AP027219.1,0d95b321a5b04edcad231062beb4a7ae,QUE10_RS25500,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,1
NZ_CP028840.1,0e44c1cff9e0a4fea5c836a4d3ad7572,C9432_RS16360,IS110 family RNA-guided transposase,IS,other_transposase_or_IS,1
NZ_CP028840.1,0e44c1cff9e0a4fea5c836a4d3ad7572,C9432_RS16400,IS3-like element ISEnfa5 family transposase,IS,other_transposase_or_IS,1
NZ_CP028840.1,0e44c1cff9e0a4fea5c836a4d3ad7572,C9432_RS16410,IS3 family transposase,IS,other_transposase_or_IS,1
NZ_CP134746.1,0e4f9b9aa0cf46c7aa9b7de9ba53b875,RM154_RS23005,IS3 family transposase,IS,other_transposase_or_IS,1
NZ_CP068409.1,0e6cc1c8ba34844c4f6368e65a006cdf,JK381_RS15440,transposase,transposase,other_transposase_or_IS,1
NZ_CP068409.1,0e6cc1c8ba34844c4f6368e65a006cdf,JK381_RS15420,IS66 family transposase,IS,other_transposase_or_IS,1
NZ_CP116073.1,0e6ef817e22244e30190a1171f727e4f,PIC30_RS26740,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,2
NZ_CP116073.1,0e6ef817e22244e30190a1171f727e4f,PIC30_RS26920,IS5 family transposase,IS,other_transposase_or_IS,2
NZ_CP116073.1,0e6ef817e22244e30190a1171f727e4f,PIC30_RS26930,IS1380-like element ISEcp1 family transposase,IS,other_transposase_or_IS,2
NZ_CP060474.1,0e772791eee38f7953144352514c1c15,H8Z72_RS24275,Tn3-like element ISXc4 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP051737.1,0ea87b24ec1f3dde9ff4d24568b54e56,HHJ26_RS25180,Tn3-like element Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP117031.1,0f351d376ab2b9fb40d8b4b92d1a50e3,LYZ37_RS24370,IS5/IS1182 family transposase,IS,other_transposase_or_IS,1
NZ_CP117815.1,0f68955e0bdc7f561a6648ede4da2f86,PT258_RS16085,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP062704.1,0f88cf29b6d0e822332b552403cd1539,ILQ62_RS27825,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NC_018489.1,0f91c9c5f0133791101f3bf0e2740806,BTG_RS32835,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP084906.1,0f99fe0b8403d091e77f2cf556586899,LHL15_RS25840,IS6-like element IS26 family transposase,IS,other_transposase_or_IS,1
NZ_CP020505.1,10095ca2468134791819e82b79c06520,AM681_RS25900,IS5-like element IS5 family transposase,IS,other_transposase_or_IS,1
NZ_CP020505.1,10095ca2468134791819e82b79c06520,AM681_RS26130,DDE-type integrase/transposase/recombinase,transposase/recombinase,other_transposase_or_IS,1
NZ_CP039433.1,1012d88ee00d0ee380241555607c03bf,E7742_RS22900,insoluble domain protein,ins,unclear_likely_false_positive,1
NZ_CP086772.1,10534ac5279b9ab13407efbe75db3aab,LOE41_RS23825,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP086846.1,10568e8d2edbd5b6b9dc7f12715a45e6,LOE24_RS24560,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP086823.1,107146f7c649dcb6065dce3d2ecba590,LOE26_RS24465,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP060038.1,10854a74c1af4be62da5c8cd147edcae,H5V43_RS23340,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP060038.1,10854a74c1af4be62da5c8cd147edcae,H5V43_RS23415,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP121511.1,10b7354206e3be6ede67353c955d0b6a,QA595_RS12185,IS1182-like element ISSep1 family transposase,IS,other_transposase_or_IS,2
NZ_CP121511.1,10b7354206e3be6ede67353c955d0b6a,QA595_RS12235,IS1182-like element ISSep1 family transposase,IS,other_transposase_or_IS,2
NZ_CP043381.1,111bbf8d63f8f1b91d33ad344a791ba5,B7D44_RS27705,IS1 family transposase,IS,other_transposase_or_IS,1
NZ_CP048668.1,11391d5ed3fdffe586373b4fea719e17,G0028_RS20970,IS1-like element ISPa14 family transposase,IS,other_transposase_or_IS,1
NZ_CP058710.1,1140ad0e9d1ce050e09fd5b9fa95097d,HZS88_RS23315,IS5-like element IS903B family transposase,IS,other_transposase_or_IS,1
NZ_CP058710.1,1140ad0e9d1ce050e09fd5b9fa95097d,HZS88_RS23325,transposase,transposase,other_transposase_or_IS,1
NZ_CP086981.1,11ced885a9f1ceaade8abd7489f2e93b,LOE09_RS20045,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP080061.1,11d1e7bd0ce209379b54455ca7ba480a,KZO13_RS24730,IS91-like element ISCR2 family transposase,IS,other_transposase_or_IS,1
NZ_CP087000.1,11ddb98a5456180295e6e679f9b476a7,LOE07_RS23575,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP093048.1,11f94ab37f2f80b6570b2b04bf67486e,MNU24_RS08275,IS5 family transposase,IS,other_transposase_or_IS,1
NZ_CP086972.1,1208614cf40a2947c67024913bc6acf6,LOE10_RS19515,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP141185.1,12421c9b18ded91ad674eaa3f1cc2698,SD425_RS26640,Tn3 family transposase,Tn3,tn3_family_unit_transposon,5
NZ_CP141185.1,12421c9b18ded91ad674eaa3f1cc2698,SD425_RS26960,conjugative transposon protein TraN,transposon,other_transposase_or_IS,5
NZ_CP141185.1,12421c9b18ded91ad674eaa3f1cc2698,SD425_RS26965,conjugative transposon protein TraM,transposon,other_transposase_or_IS,5
NZ_CP141185.1,12421c9b18ded91ad674eaa3f1cc2698,SD425_RS26970,conjugative transposon protein TraK,transposon,other_transposase_or_IS,5
NZ_CP141185.1,12421c9b18ded91ad674eaa3f1cc2698,SD425_RS26995,TraG family conjugative transposon ATPase,transposon,other_transposase_or_IS,5
NZ_CP117415.1,1256a2297268b09dca00227ae51eb887,PQ455_RS20960,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP117164.1,12581917753bf5adbbfadfb75394a843,sphantq_RS24180,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP117164.1,12581917753bf5adbbfadfb75394a843,sphantq_RS24185,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP086881.1,126e8b9e29e173b0f298e74d68403ef6,LOE22_RS21585,ISKra4 family transposase,IS,other_transposase_or_IS,2
NZ_CP086881.1,126e8b9e29e173b0f298e74d68403ef6,LOE22_RS21605,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_OY725907.1,128e21b62366eba139ab7e6c3b0b9107,UHF62_RS04005,membrane protein insertion efficiency factor YidD,insertion,other_transposase_or_IS,1
NZ_CP071549.1,12d47b6b555b6c509c92056ff0650f30,J2O02_RS18385,conjugative transposon protein TraM,transposon,other_transposase_or_IS,1
NZ_CP138646.1,13311ec6557979b22458cb72eba7ee19,SHT68_RS16530,IS6-like element IS1216 family transposase,IS,other_transposase_or_IS,1
NZ_CP037445.1,1360bb0dc08217bfdad1edbe33448cba,BMD99_RS28910,IS1 family transposase,IS,other_transposase_or_IS,1
NZ_CP037445.1,1360bb0dc08217bfdad1edbe33448cba,BMD99_RS28970,IS1 family transposase,IS,other_transposase_or_IS,1
NZ_CP037445.1,1360bb0dc08217bfdad1edbe33448cba,BMD99_RS28980,Tn3-like element Tn5403 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_OU659131.1,136ad83d9ca2328c6ae03691b9ac21a8,LDO77_RS17040,oxygen-insensitive NAD(P)H nitroreductase,ins,unclear_likely_false_positive,1
NZ_CP050365.1,137354eca58b8812bbc83b62765695bf,HB636_RS28645,Tn3-like element Tn5403 family transposase,Tn3,tn3_family_unit_transposon,1
NC_006363.1,137be907f1cd58afc2f0f1a97197c3b6,NFA_RS29180,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NC_006363.1,137be907f1cd58afc2f0f1a97197c3b6,NFA_RS29310,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP040921.1,137e5351a878e053aa2e7523615f73fb,FH485_RS26485,IS3-like element IS2 family transposase,IS,other_transposase_or_IS,1
NZ_CP087575.1,141601ad28877474c9f1ebb8174389e1,KUA31_RS00065,IS1-like element IS1B family transposase,IS,other_transposase_or_IS,1
NZ_CP092642.1,1441361f97ceacc784eb5aff887b644e,MJ393_RS24275,conjugative transposon protein TraM,transposon,other_transposase_or_IS,2
NZ_CP092642.1,1441361f97ceacc784eb5aff887b644e,MJ393_RS24280,conjugative transposon protein TraN,transposon,other_transposase_or_IS,2
NZ_CP103143.1,14674064d5184e49a5014dcb00bf41da,NXY30_RS29225,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,4
NZ_CP103143.1,14674064d5184e49a5014dcb00bf41da,NXY30_RS29415,conjugative transposon protein TraK,transposon,other_transposase_or_IS,4
NZ_CP103143.1,14674064d5184e49a5014dcb00bf41da,NXY30_RS29430,conjugative transposon protein TraM,transposon,other_transposase_or_IS,4
NZ_CP103143.1,14674064d5184e49a5014dcb00bf41da,NXY30_RS29435,conjugative transposon protein TraN,transposon,other_transposase_or_IS,4
NZ_CP058356.1,1467cb4b9737086b69c24a47c166f0cd,HXS77_RS22185,Tn3-like element TnAs1 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP058356.1,1467cb4b9737086b69c24a47c166f0cd,HXS77_RS22520,IS1 family transposase,IS,other_transposase_or_IS,1
NZ_CP097515.1,1474b09245bc70807aafdaaad205e121,M8Z30_RS12520,IS6 family transposase,IS,other_transposase_or_IS,2
NZ_CP097515.1,1474b09245bc70807aafdaaad205e121,M8Z30_RS12550,DDE-type integrase/transposase/recombinase,transposase/recombinase,other_transposase_or_IS,2
NZ_CP097515.1,1474b09245bc70807aafdaaad205e121,M8Z30_RS12585,IS6-like element IS257 family transposase,IS,other_transposase_or_IS,2
NZ_CP072609.1,14a47a3f190f4b7fbca92763e8026f7e,J8J02_RS15085,transposase,transposase,other_transposase_or_IS,1
NZ_CP072609.1,14a47a3f190f4b7fbca92763e8026f7e,J8J02_RS15100,IS91 family transposase,IS,other_transposase_or_IS,1
NZ_CP053338.1,14a5799e1f05d9314e4ff098ffd6919d,CK401_RS14910,IS256 family transposase,IS,other_transposase_or_IS,1
NZ_CP053338.1,14a5799e1f05d9314e4ff098ffd6919d,CK401_RS14940,IS30-like element ISLpl1 family transposase,IS,other_transposase_or_IS,1
NZ_CP053338.1,14a5799e1f05d9314e4ff098ffd6919d,CK401_RS15785,IS30 family transposase,IS,other_transposase_or_IS,1
NC_001849.2,14abd630a7d09564e8569e72384deea5,BB_RS07855,RNA-guided endonuclease TnpB family protein,Tnp,other_transposase_or_IS,1
NZ_CP090314.1,14e05b2b45a42da76e75c472c5cac267,LWM71_RS11050,IS30 family transposase,IS,other_transposase_or_IS,1
NZ_CP061841.1,15494c3dd07a4576182a5a0776305b01,IF130_RS16145,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP075342.1,1557c5d38132fee079481de50cebe2e0,KI427_RS27490,insoluble domain protein,ins,unclear_likely_false_positive,1
NZ_CP121565.1,1560ab87b75d0014e946aac4bd54c5c2,MTS31_RS19575,IS4-like element ISAba1 family transposase,IS,other_transposase_or_IS,1
NZ_CP084755.1,15bb0e475fd4485966d41f7383806b1e,LHK14_RS27355,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP084755.1,15bb0e475fd4485966d41f7383806b1e,LHK14_RS27460,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP084755.1,15bb0e475fd4485966d41f7383806b1e,LHK14_RS27465,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP065648.1,15d3aa79b0646ab461ba8c73479c09e3,I6G80_RS24275,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP099487.1,15d4646810ea730862d12e1f9b05a8a7,NC516_RS10600,IS30 family transposase,IS,other_transposase_or_IS,2
NZ_CP099487.1,15d4646810ea730862d12e1f9b05a8a7,NC516_RS10635,IS30 family transposase,IS,other_transposase_or_IS,2
NZ_CP099487.1,15d4646810ea730862d12e1f9b05a8a7,NC516_RS10775,transposase,transposase,other_transposase_or_IS,2
NZ_CP099487.1,15d4646810ea730862d12e1f9b05a8a7,NC516_RS10780,IS6 family transposase,IS,other_transposase_or_IS,2
NZ_CP013960.1,15ea0e1c1a5ea74eb5d6a170d8c43037,ASL18_RS16030,IS6-like element IS257 family transposase,IS,other_transposase_or_IS,3
