accession,rohan_transposase_count,isescan_is_copies,isescan_complete,isescan_partial
NZ_CP017832.1,1,1,0,1
NZ_CP133488.1,15,16,12,4
NZ_CP029455.1,15,22,13,9
NZ_CP029456.1,2,2,1,1
NZ_CP038415.1,5,8,4,4
NZ_CP087599.1,3,4,2,2
NZ_CP064109.1,1,1,0,1
NZ_CP064110.1,9,8,5,3
NZ_CP064111.1,8,7,6,1
NZ_CP064112.1,8,7,5,2
NZ_CP099884.1,1,3,1,2
NZ_CP099885.1,6,7,5,2
NZ_CP010790.1,1,1,0,1
NZ_CP010791.1,4,7,4,3
NZ_CP066807.1,5,13,6,7
NZ_CP066808.1,12,16,10,6
NZ_CP104510.1,12,8,7,1
NZ_CP104511.1,8,10,6,4
NZ_CP104512.1,1,1,0,1
NZ_CP128589.1,17,27,5,22
NZ_AP017376.1,15,18,15,3
NZ_CP116904.1,20,21,14,7
NZ_CP116905.1,12,14,10,4
NZ_CP116906.1,7,11,8,3
NC_006672.1,6,10,10,0
NC_006673.1,8,7,6,1
NC_006675.1,6,5,5,0
NZ_CP044153.1,1,2,2,0
NZ_CP044154.1,33,72,29,43
NZ_CP085778.1,27,28,21,7
NZ_CP085779.1,5,4,2,2
NZ_CP117563.1,24,27,14,13
NZ_CP117564.1,23,21,6,15
NZ_CP117565.1,2,2,1,1
NZ_CP028954.1,15,14,11,3
NZ_CP028955.1,20,26,16,10
NZ_CP096743.1,2,4,2,2
NZ_CP129515.1,12,14,10,4
NZ_CP129516.1,18,16,11,5
NZ_CP072423.1,12,17,13,4
NZ_CP069005.1,2,1,1,0
NZ_CP069006.1,3,3,2,1
NZ_AP022528.1,17,21,17,4
NZ_AP022529.1,5,5,5,0
NZ_AP022531.1,1,1,0,1
NZ_CP087299.1,2,2,2,0
NZ_AP025900.1,32,32,27,5
NZ_CP063905.1,13,20,11,9
NZ_CP117387.1,8,7,5,2
NZ_CP086848.1,11,14,10,4
NZ_CP086849.1,1,1,1,0
NZ_CP086851.1,25,22,10,12
NZ_CP086852.1,5,4,2,2
NZ_CP086853.1,1,0,0,0
NZ_CP066846.1,5,7,1,6
NZ_CP066845.1,10,10,8,2
NZ_CP135166.1,1,0,0,0
NZ_CP135167.1,6,7,2,5
NZ_CP135168.1,10,11,6,5
NZ_CP135169.1,5,6,6,0
NZ_CP135170.1,3,5,4,1
NZ_CP120991.1,30,23,14,9
NZ_CP049178.1,1,1,1,0
NZ_CP039071.1,64,85,58,27
NZ_CP039072.1,3,7,1,6
NZ_CP039073.1,16,13,11,2
NZ_CP039074.1,10,11,9,2
NZ_CP039075.1,4,4,3,1
NZ_CP082832.1,17,28,11,17
NZ_CP072187.1,1,1,1,0
NZ_CP094947.1,1,3,0,3
NZ_CP039861.1,25,26,18,8
NZ_CP039862.1,1,1,1,0
NZ_CP130704.1,5,3,1,2
NZ_CP130705.1,1,1,1,0
NZ_CP060175.1,14,13,6,7
NZ_CP060176.1,4,4,2,2
NZ_CP060177.1,7,5,4,1
NZ_CP060179.1,4,7,2,5
NZ_CP049168.1,4,3,3,0
NZ_CP090630.1,13,8,6,2
NZ_CP090631.1,2,0,0,0
NZ_CP058829.1,26,27,20,7
NZ_CP058830.1,5,7,5,2
NZ_CP047161.1,15,19,18,1
NZ_CP095254.1,13,19,10,9
NZ_CP095255.1,15,16,12,4
NZ_CP095256.1,6,5,4,1
NZ_CP095261.1,3,4,4,0
NZ_CP054941.1,14,19,14,5
NZ_CP054942.1,2,2,2,0
NZ_CP076869.1,1,3,3,0
NZ_CP038632.1,12,13,8,5
NZ_CP038633.1,14,18,14,4
NZ_AP022611.1,2,1,1,0
NZ_CP121653.1,40,45,25,20
NZ_CP121654.1,20,22,8,14
NZ_CP121655.1,18,25,13,12
NZ_CP121656.1,31,29,18,11
NZ_CP121657.1,11,8,3,5
NZ_CP112973.1,23,26,19,7
NZ_CP112974.1,3,6,4,2
NZ_CP112975.1,8,12,7,5
NZ_CP038892.1,83,89,54,35
NZ_CP048651.1,16,14,13,1
NZ_CP061282.1,1,0,0,0
NZ_CP063519.1,3,6,1,5
NZ_CP063522.1,7,6,6,0
NZ_CP072267.1,1,1,1,0
NZ_CP072266.1,2,2,0,2
NZ_CP107484.1,19,23,19,4
NZ_CP107485.1,16,16,14,2
NZ_CP043363.1,9,11,5,6
NZ_CP043364.1,11,9,6,3
NZ_CP030006.1,1,1,1,0
NZ_CP116170.1,6,9,6,3
NZ_CP116171.1,4,2,2,0
NZ_CP019656.1,11,8,5,3
NZ_CP019657.1,6,5,0,5
NZ_CP019658.1,3,2,2,0
NZ_CP081932.1,1,1,1,0
NZ_CP058188.1,24,22,18,4
NZ_CP013108.1,16,12,8,4
NZ_CP013109.1,22,27,10,17
NZ_CP013110.1,18,18,15,3
NZ_CP083644.1,24,22,18,4
NZ_CP068409.1,1,0,0,0
NZ_CP068413.1,1,1,0,1
NZ_CP111044.1,20,14,7,7
NZ_CP111045.1,20,12,6,6
NZ_CP111046.1,3,3,0,3
NZ_CP111047.1,5,2,1,1
NZ_CP111048.1,7,5,2,3
NZ_CP111049.1,2,2,1,1
NZ_CP111050.1,1,1,0,1
NZ_CP111051.1,5,3,1,2
NZ_CP111052.1,14,12,5,7
NZ_CP111053.1,5,5,4,1
NZ_CP111055.1,5,4,2,2
NZ_CP111056.1,16,14,6,8
NZ_CP111057.1,2,1,0,1
NZ_CP111059.1,4,2,0,2
NZ_CP111060.1,11,7,4,3
NZ_CP111061.1,3,1,1,0
NZ_CP111062.1,3,1,0,1
NZ_CP111063.1,1,2,0,2
NZ_CP111064.1,13,6,0,6
NZ_CP111065.1,6,4,1,3
NZ_CP111066.1,5,4,1,3
NZ_CP111067.1,1,1,0,1
NZ_CP111068.1,1,0,0,0
NZ_CP111070.1,1,0,0,0
NZ_CP020460.1,6,5,4,1
NZ_CP020461.1,1,2,1,1
NZ_CP016854.1,7,11,10,1
NZ_CP139395.1,5,5,5,0
NZ_CP013832.1,13,11,8,3
NZ_CP096667.1,10,8,4,4
NZ_CP096668.1,5,6,0,6
NZ_CP096669.1,4,10,2,8
NZ_CP085416.1,2,1,1,0
NZ_CP085418.1,1,3,2,1
NZ_CP085419.1,2,0,0,0
NZ_CP085420.1,3,2,2,0
NZ_CP085421.1,1,2,0,2
NZ_CP047272.1,35,30,29,1
NZ_CP021280.1,2,0,0,0
NZ_CP045120.1,1,0,0,0
NZ_CP075378.1,21,20,16,4
NZ_CP075375.1,4,4,3,1
NZ_CP075376.1,1,2,0,2
NZ_CP075377.1,2,4,1,3
NZ_CP013986.1,2,7,4,3
NZ_LT883139.1,26,23,21,2
NZ_LT883140.1,1,0,0,0
NZ_LT883141.1,29,29,19,10
NZ_CP063447.1,13,18,5,13
NZ_CP063448.1,13,13,11,2
NZ_CP063449.1,6,5,1,4
NZ_CP115264.1,1,0,0,0
NZ_CP047392.1,3,1,0,1
NZ_CP070618.1,4,1,1,0
NZ_CP070617.1,3,0,0,0
NZ_CP070615.1,8,5,4,1
NZ_CP070614.1,24,31,13,18
NZ_CP074002.1,19,25,15,10
NZ_CP074003.1,3,6,4,2
NZ_AP026681.1,1,1,1,0
NZ_CP081176.1,5,10,5,5
NZ_CP009595.1,4,6,3,3
NZ_CP029339.1,1,3,1,2
NZ_CP095483.1,1,3,1,2
NZ_CP095484.1,1,1,1,0
NZ_CP095485.1,7,8,5,3
NZ_HG813248.1,3,3,2,1
NZ_CP068124.1,4,3,3,0
NZ_CP068127.1,8,7,1,6
NC_021920.1,2,4,3,1
NZ_AP017631.1,1,0,0,0
NZ_CP054588.1,12,7,5,2
NZ_CP054589.1,17,18,10,8
NZ_CP054590.1,7,9,6,3
NZ_CP097684.1,1,1,1,0
NZ_CP097686.1,16,13,12,1
NZ_CP097687.1,14,14,14,0
NZ_CP043206.1,1,1,0,1
NZ_CP055261.1,1,1,0,1
NZ_CP055262.1,12,19,13,6
NZ_CP119747.1,13,11,9,2
NZ_CP119748.1,8,13,8,5
NZ_CP119749.1,13,19,10,9
NZ_CP072987.1,5,6,4,2
NZ_CP116068.1,2,3,3,0
NZ_CP116069.1,4,8,5,3
NZ_CP116070.1,14,17,10,7
NZ_CP136627.1,8,14,5,9
NZ_CP084243.1,1,1,1,0
NZ_CP084242.1,15,27,16,11
NZ_HG428756.1,1,1,1,0
NZ_CBTO010000001.1,3,1,1,0
NZ_CBTO010000002.1,6,7,3,4
NZ_AP019010.1,12,8,4,4
NZ_CP110979.1,18,24,17,7
NZ_CP110980.1,6,6,4,2
NZ_CP110981.1,1,0,0,0
NZ_AKVW01000003.1,2,4,1,3
NZ_AKVW01000004.1,1,1,0,1
NZ_AKVW01000005.1,1,3,3,0
NZ_AKVW01000006.1,10,13,4,9
NZ_CP033372.1,73,101,67,34
NZ_CP033373.1,25,25,15,10
NZ_CP033375.1,7,5,4,1
NZ_CP117882.1,15,13,8,5
NZ_CP033363.1,21,18,11,7
NZ_CP141641.1,9,11,10,1
NZ_AP025762.1,1,0,0,0
NZ_CP014118.1,1,0,0,0
NC_006391.1,2,2,1,1
NC_006392.1,3,3,3,0
NC_006393.1,14,32,19,13
NC_006395.1,2,2,1,1
NZ_CP047680.1,5,6,5,1
NZ_CP032928.1,9,12,5,7
NZ_CP032929.1,1,1,1,0
NZ_CP088989.1,8,7,6,1
NZ_CP088990.1,15,23,13,10
NZ_CP056889.1,27,23,19,4
NZ_CP056890.1,1,1,1,0
NZ_CP067338.1,2,4,3,1
NZ_CP055016.1,26,29,22,7
NZ_CP055017.1,8,10,9,1
NC_005838.1,10,10,7,3
NZ_CP027032.1,10,14,9,5
NZ_CP028242.1,3,7,4,3
NZ_CP028243.1,8,8,3,5
NZ_CP028244.1,6,3,1,2
NZ_CP028245.1,2,3,3,0
NZ_CP077811.1,15,18,12,6
NZ_CP045540.1,5,3,1,2
NZ_AP025840.1,25,27,22,5
NZ_AP025841.1,2,1,0,1
NZ_CP022182.1,6,4,3,1
NZ_CP022183.1,9,13,7,6
NZ_CP022184.1,1,0,0,0
NZ_CP107016.1,10,20,7,13
NZ_CP107017.1,12,11,9,2
NZ_CP107015.1,23,32,19,13
NZ_CP088283.1,20,29,9,20
NZ_CP138654.1,2,0,0,0
NZ_CP142911.1,26,24,16,8
NZ_CP142912.1,2,2,2,0
NZ_CP059604.1,3,4,4,0
NZ_CP059605.1,2,2,2,0
NZ_CP059606.1,10,9,7,2
NZ_CP074123.1,3,3,2,1
NZ_CP074124.1,9,12,8,4
NZ_CP074121.1,10,15,10,5
NZ_CP095133.1,15,19,14,5
NZ_CP095134.1,13,16,12,4
NZ_AP027277.1,6,6,4,2
NZ_CP138807.1,32,37,28,9
NZ_CP138808.1,25,39,19,20
NZ_CP138809.1,7,6,4,2
NZ_CP076741.1,3,4,1,3
NZ_CP046675.1,12,15,8,7
NZ_CP040452.1,7,6,4,2
NZ_CP040453.1,3,5,1,4
NZ_CP125985.1,25,18,16,2
NZ_CP047128.1,11,12,10,2
NC_014811.1,11,12,8,4
NZ_CP041388.1,38,37,29,8
NZ_CP041389.1,10,11,7,4
NZ_CP021273.1,2,3,1,2
NZ_AP018719.1,2,2,2,0
NZ_AP018720.1,2,2,2,0
NZ_CP070264.2,12,15,7,8
NZ_CP070265.2,5,4,2,2
NZ_CP070266.2,4,6,5,1
NZ_CP070267.2,5,6,5,1
NZ_CP122944.1,1,0,0,0
NZ_CP122945.1,1,1,1,0
NZ_CP095555.1,4,5,3,2
NZ_CP103975.1,20,17,12,5
NZ_CP054658.1,10,10,7,3
NZ_CP054659.1,2,2,1,1
NZ_CP084101.1,1,1,1,0
NZ_LR130549.1,18,20,14,6
NZ_LR130550.1,3,2,2,0
NZ_LR130551.1,2,0,0,0
NZ_CP063012.1,13,16,10,6
NZ_CP037936.1,3,4,2,2
NZ_CP037938.1,4,3,1,2
NZ_CP088924.1,3,0,0,0
NZ_CP042589.1,10,10,6,4
NZ_CP042590.1,2,2,2,0
NC_006509.1,1,1,1,0
NC_019432.1,2,2,2,0
NC_019436.1,7,9,6,3
NC_019431.1,6,7,5,2
NC_019430.1,9,13,10,3
NZ_CP048023.1,6,6,2,4
NZ_CP048024.1,3,6,4,2
NZ_CP043569.1,1,2,0,2
NZ_CP021008.2,3,5,2,3
NZ_CP021009.2,1,1,1,0
NZ_CP021007.2,2,6,4,2
NZ_CP051176.1,22,37,28,9
NZ_CP040171.1,3,2,1,1
NZ_CP084498.1,16,15,14,1
NZ_CP084499.1,8,7,5,2
NZ_CP137467.1,23,22,17,5
NZ_CP137466.1,11,11,9,2
NZ_CP031468.1,1,0,0,0
NZ_CP085319.1,3,1,1,0
NZ_CP032142.1,2,2,2,0
NZ_CP029955.1,15,14,13,1
NZ_CP102520.1,21,13,10,3
NZ_CP088223.1,18,17,10,7
NZ_CP088226.1,5,5,4,1
NZ_CP088228.1,6,5,5,0
NZ_AP019670.1,18,19,10,9
NZ_AP019671.1,13,11,9,2
NZ_AP019672.1,6,7,5,2
NZ_CP124514.1,11,14,8,6
NZ_CP103488.1,22,26,22,4
NZ_CP103489.1,8,11,5,6
NZ_CP103490.1,4,5,3,2
NZ_CP069894.1,11,13,5,8
NZ_CP085189.1,20,20,15,5
NZ_CP085190.1,13,16,13,3
NZ_CP076208.1,5,10,5,5
NZ_CP084481.1,3,4,3,1
NZ_CP073237.1,5,11,4,7
NZ_CP090542.1,5,5,5,0
NZ_CP059301.1,15,14,11,3
NZ_CP039693.1,8,4,2,2
NZ_CP039694.1,28,22,9,13
NZ_CP098356.1,2,0,0,0
NZ_CP098357.1,17,19,13,6
NZ_CP098358.1,10,4,3,1
NZ_CP098359.1,2,2,2,0
NZ_HG813245.1,3,3,3,0
NC_001880.1,1,1,0,1
NZ_CP097054.1,4,4,4,0
NZ_CP140089.1,8,9,7,2
NZ_CP140090.1,2,0,0,0
NZ_CP140091.1,5,7,2,5
NZ_CP140092.1,8,4,1,3
NZ_CP140094.1,1,1,0,1
NZ_CP039191.1,57,68,33,35
NZ_CP039192.1,2,4,1,3
NZ_CP039193.1,8,12,3,9
NZ_CP039194.1,11,12,2,10
NZ_CP035021.1,9,10,7,3
NZ_CP035022.1,6,12,10,2
NZ_CP035023.1,9,7,3,4
NZ_CP035024.1,7,7,6,1
NZ_CP035025.1,2,2,2,0
NZ_CP035026.1,6,4,2,2
NZ_CP135482.1,12,11,10,1
NZ_CP109783.1,1,1,1,0
NZ_AP022127.1,20,18,12,6
NZ_AP022128.1,8,9,6,3
NZ_AP022129.1,4,5,3,2
NZ_CP031911.1,18,21,8,13
NZ_CP045204.1,6,5,2,3
NZ_CP045203.1,14,13,11,2
NZ_CP040036.1,4,4,4,0
NZ_CP040034.1,10,10,6,4
NZ_CP040035.1,8,10,9,1
NZ_CP102884.1,25,23,19,4
NZ_CP102885.1,16,19,12,7
NZ_CP102886.1,4,3,3,0
NZ_CP102887.1,5,4,4,0
NC_013731.1,3,5,2,3
NC_013732.1,2,1,0,1
NC_013733.1,2,2,0,2
NZ_CP041045.1,14,16,7,9
NZ_CP041044.1,6,6,3,3
NZ_CP041043.1,3,3,2,1
NZ_CP115331.1,18,20,16,4
NZ_AP023173.1,13,15,4,11
NZ_CP089920.1,4,5,3,2
NZ_CP089921.1,2,2,2,0
NZ_AP026809.1,3,3,2,1
NZ_AP026810.1,1,1,1,0
NZ_CP082989.1,10,10,9,1
NZ_CP082990.1,7,7,4,3
NZ_CP082991.1,1,0,0,0
NZ_CP082992.1,6,11,7,4
NZ_CP082993.1,4,5,2,3
NZ_CP019993.1,42,51,39,12
NZ_CP019994.1,11,9,8,1
NZ_CP019995.1,12,14,9,5
NZ_CP077995.1,8,8,5,3
NZ_CP031348.1,19,18,5,13
NZ_CP026534.1,5,5,5,0
NZ_CP091175.1,5,2,1,1
NZ_CP050433.1,19,17,7,10
NZ_CP050434.1,1,0,0,0
NZ_CP096244.1,5,6,5,1
NZ_CP096243.1,14,25,12,13
NZ_CP104775.1,8,8,4,4
NC_021492.1,8,5,2,3
NZ_CP128216.1,5,8,5,3
NZ_CP128217.1,8,5,2,3
NZ_CP089320.1,35,45,32,13
NZ_CP089321.1,4,2,2,0
NZ_CP089322.1,10,10,6,4
NZ_CP089323.1,2,2,2,0
NZ_CP032054.1,2,4,2,2
NZ_CP032053.1,1,2,1,1
NZ_CP078161.1,2,3,3,0
NZ_CP129761.1,12,14,11,3
NZ_CP129760.1,10,9,5,4
NZ_CP129762.1,5,3,3,0
NZ_CP029903.1,2,1,0,1
NZ_CP045514.1,13,13,9,4
NZ_CP021824.1,35,43,26,17
NZ_CP021823.1,14,17,12,5
NZ_CP062900.1,26,29,11,18
NZ_CP062899.1,8,9,6,3
NZ_CP062896.1,7,3,2,1
NZ_CP019971.1,12,8,7,1
NZ_CP019972.1,12,11,8,3
NZ_CP019973.1,9,7,7,0
NZ_CP019974.1,1,2,2,0
NZ_CP019975.1,6,4,4,0
NZ_CP050763.1,11,10,10,0
NZ_CP062161.1,3,8,4,4
NZ_CP081866.1,7,12,7,5
NZ_CP081867.1,3,3,3,0
NZ_CP081868.1,4,5,2,3
NZ_CP091027.1,18,22,8,14
NZ_CP074420.1,7,9,3,6
NZ_CP074421.1,2,2,1,1
NZ_CP074422.1,4,9,8,1
NZ_CP074423.1,2,6,1,5
NZ_CP096361.1,8,6,5,1
NZ_CP009519.1,1,1,1,0
NZ_CP118055.1,1,1,0,1
NZ_CP107835.1,1,4,0,4
NZ_CP063846.1,5,3,1,2
NZ_CP063847.1,2,1,0,1
NZ_CP068445.1,24,22,17,5
NZ_CP068446.1,12,8,6,2
NZ_CP068447.1,3,3,1,2
NZ_CP095921.1,30,24,20,4
NZ_CP072217.1,2,0,0,0
NZ_CP072219.1,3,2,1,1
NZ_CP045713.1,7,10,6,4
NZ_CP045715.1,1,0,0,0
NZ_CP037930.1,17,7,6,1
NZ_CP037929.1,31,36,27,9
NZ_CP137921.1,14,14,12,2
NZ_CP094456.1,10,10,5,5
NZ_CP094316.1,4,10,3,7
NZ_CP011644.1,8,7,4,3
NZ_CP011645.1,5,1,1,0
NZ_CP011646.1,15,8,5,3
NZ_CP063239.1,4,6,4,2
NZ_CP133667.1,4,3,3,0
NZ_CP133668.1,3,10,4,6
NZ_AP028048.1,11,9,6,3
NZ_AP028049.1,11,9,7,2
NZ_AP025773.1,23,24,19,5
NZ_CP086605.1,19,23,17,6
NZ_CP086606.1,10,11,10,1
NZ_CP086607.1,17,21,7,14
NZ_CP086609.1,4,10,6,4
NZ_OY754830.1,14,9,7,2
NZ_OY754831.1,15,23,13,10
NZ_CP018339.1,3,1,1,0
NZ_CP018338.1,20,22,14,8
NZ_CP018340.1,1,1,0,1
NZ_CP018341.1,6,8,6,2
NZ_CP018342.1,4,2,2,0
NZ_CP018343.1,9,6,5,1
NZ_CP077783.1,16,18,14,4
NZ_CP077784.1,25,31,22,9
NZ_CP077782.1,4,4,4,0
NZ_CP114884.1,1,1,1,0
NZ_CP012385.1,24,32,29,3
NZ_CP012386.1,6,8,7,1
NZ_CP072058.1,12,18,14,4
NZ_CP135699.1,9,5,4,1
NZ_CP135698.1,22,25,20,5
NZ_CP051364.1,3,3,2,1
NZ_CP122601.1,8,14,2,12
NZ_CP122602.1,6,1,0,1
NZ_CP122603.1,1,1,1,0
NZ_CP019872.1,15,11,9,2
NZ_CP019873.1,9,4,2,2
NZ_CP019874.1,8,6,2,4
NZ_CP044292.1,2,4,2,2
NZ_CP062345.1,1,0,0,0
NZ_CP086339.1,5,5,4,1
NZ_CP067023.1,5,8,4,4
NZ_CP023552.1,8,10,5,5
NZ_CP087679.1,1,1,1,0
NZ_CP009629.1,1,1,1,0
NZ_CP086972.1,1,0,0,0
NZ_CP086973.1,27,25,12,13
NZ_CP086974.1,5,5,3,2
NZ_CP086975.1,5,4,2,2
NZ_CP086976.1,8,10,6,4
NZ_CP086977.1,1,0,0,0
NZ_CP141790.1,14,12,11,1
NZ_CP134067.1,5,7,5,2
NZ_CP009989.1,8,7,4,3
NZ_CP009990.1,3,8,1,7
NZ_CP009988.1,2,1,0,1
NZ_CP125886.1,9,14,11,3
NZ_CP121200.1,23,28,20,8
NZ_CP117765.1,1,0,0,0
NZ_CP090015.1,3,3,3,0
NZ_CP065192.1,2,0,0,0
NZ_CP103339.1,3,7,3,4
NZ_CP103340.1,4,6,5,1
NZ_CP061610.1,3,11,8,3
NZ_CP061611.1,1,0,0,0
NZ_CP010158.1,7,18,9,9
NZ_CP075464.1,11,11,8,3
NZ_CP075461.1,2,2,2,0
NZ_CP075463.1,22,27,16,11
NZ_CP082291.1,40,37,27,10
NZ_CP041679.1,1,2,0,2
NZ_CP009030.1,8,11,3,8
NZ_CP092545.1,18,18,16,2
NZ_CP092546.1,1,0,0,0
NZ_CP050184.1,27,28,23,5
NZ_CP050185.1,8,8,8,0
NZ_CP050186.1,1,1,0,1
NZ_CP116481.1,21,22,15,7
NZ_CP116483.1,5,8,4,4
NZ_CP116484.1,1,2,0,2
NZ_CP031850.1,20,20,15,5
NZ_CP031851.1,9,10,7,3
NZ_CP031852.1,3,2,1,1
NZ_CP020898.1,23,34,7,27
NZ_CP020899.1,3,2,1,1
NZ_CP020900.1,15,15,8,7
NZ_CP108558.1,29,34,15,19
NZ_CP108559.1,4,4,1,3
NZ_CP108560.1,5,5,1,4
NZ_CP008996.1,3,4,2,2
NZ_CP008997.1,3,2,0,2
NZ_CP009688.1,1,1,1,0
NZ_CP021236.1,7,3,2,1
NZ_CP051371.1,4,3,1,2
NZ_CP034932.1,4,4,4,0
NZ_CP034933.1,37,77,34,43
NZ_CP070874.1,17,23,15,8
NZ_CP070875.1,8,12,9,3
NZ_CP034390.1,18,18,14,4
NZ_CP137239.1,4,2,1,1
NZ_CP013501.1,1,1,1,0
NZ_CP013502.1,18,25,8,17
NZ_CP013504.1,7,7,6,1
NZ_CP062750.1,6,8,5,3
NZ_CP040184.1,23,31,23,8
NZ_CP040185.1,5,4,1,3
NZ_CP040186.1,8,15,7,8
NZ_CP134720.1,1,4,1,3
NZ_CP134722.1,1,0,0,0
NZ_CP028689.1,2,6,3,3
NZ_CP114986.1,3,3,2,1
NZ_CP114987.1,3,3,2,1
NZ_CP114988.1,4,4,2,2
NZ_CP018220.1,26,32,22,10
NC_015704.1,8,4,1,3
NC_015694.1,4,0,0,0
NC_015705.1,1,0,0,0
NZ_AP025271.1,2,2,0,2
NZ_CP069958.1,5,6,4,2
NZ_CP069959.1,15,12,11,1
NZ_CP047284.1,3,2,1,1
NZ_CP129632.1,2,2,0,2
NZ_CP129631.1,23,22,12,10
NZ_CP035756.1,2,2,0,2
NZ_CP035753.1,16,20,10,10
NZ_CP035752.1,7,5,4,1
NZ_CP126059.1,15,21,15,6
NZ_CP126060.1,7,7,5,2
NZ_CP126063.1,9,4,3,1
NZ_CP106659.1,18,26,13,13
NC_013224.1,2,4,1,3
NZ_CP055310.1,26,22,18,4
NZ_CP055311.1,28,29,15,14
NZ_CP055312.1,8,7,6,1
NZ_CP026876.1,26,63,33,30
NZ_CP125358.1,1,1,1,0
NZ_CP125352.1,14,11,5,6
NZ_CP125353.1,7,7,6,1
NZ_CP073081.1,30,29,24,5
NZ_CP065839.1,6,1,1,0
NZ_CP092895.1,7,8,3,5
NZ_CP092894.1,7,10,6,4
NZ_CP091327.1,15,23,10,13
NZ_CP022777.1,3,11,0,11
NZ_CP060988.1,18,23,17,6
NZ_CP060989.1,6,6,4,2
NZ_CP060992.1,1,1,1,0
NZ_CP060990.1,5,6,4,2
NZ_CP021019.2,1,2,1,1
NZ_CP021020.2,5,8,5,3
NZ_CP117050.1,27,22,19,3
NZ_CP016558.1,4,7,4,3
NZ_CP015522.1,4,3,2,1
NZ_CP015523.1,13,9,8,1
NZ_AP022178.1,14,24,16,8
NZ_AP022179.1,23,23,11,12
NZ_CP063923.1,2,0,0,0
NZ_CP063924.1,6,5,4,1
NZ_CP010750.1,6,9,5,4
NZ_CP010755.1,2,3,1,2
NZ_CP091869.1,19,20,13,7
NZ_CP056410.1,17,15,13,2
NZ_CP056411.1,2,1,1,0
NZ_CP053834.1,4,2,1,1
NZ_CP107165.1,1,0,0,0
NZ_CP107166.1,6,3,3,0
NZ_CP044078.1,14,19,9,10
NZ_CP044079.1,5,7,2,5
NZ_CP044080.1,9,12,3,9
NZ_CP044082.1,2,1,1,0
NZ_CP068765.1,3,4,2,2
NZ_CP068766.1,1,0,0,0
NZ_CP068768.1,6,6,2,4
NZ_CP068770.1,4,4,2,2
NZ_CP117330.1,13,12,4,8
NC_015974.1,6,3,1,2
NZ_CP067256.1,15,20,14,6
NZ_CP067257.1,11,11,8,3
NZ_CP114797.1,8,8,6,2
NZ_CP114798.1,4,4,1,3
NZ_LR536451.1,6,10,8,2
NZ_LR536452.1,5,9,7,2
NZ_CP056298.1,15,21,15,6
NZ_CP071087.1,25,27,17,10
NZ_CP033655.1,20,24,14,10
NZ_CP033658.1,24,28,15,13
NZ_CP033659.1,14,10,8,2
NZ_CP086465.1,28,34,25,9
NZ_CP088907.1,3,4,1,3
NZ_CP088909.1,58,69,40,29
NZ_CP088908.1,7,4,3,1
NZ_CP088910.1,8,7,5,2
NZ_CP079857.1,5,8,5,3
NZ_CP040738.1,4,4,1,3
NZ_CP093942.1,42,47,38,9
NZ_CP093943.1,12,12,11,1
