md5,category,gene,pident,qcov,n_copies,rep_accession,rep_locus,rep_product,is_family,left_flank,right_flank,subject_title
069f41dc9f580d45c5dc9c6d7f781488,card,AAC(6')-Ib3,99.5,100.0,2,NZ_CP135699.1,RS161_RS25655,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,IS6,c,c,gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3 [Acinetobacter baumannii] 
07e26b392c0d6755220a22c73ff649ab,card,dfrA19,99.5,100.0,93,NZ_CP027144.1,CSC02_RS24640,trimethoprim-resistant dihydrofolate reductase DfrA19,IS5,c,c,gb|CAC81324.1|ARO:3003015|dfrA19 [Salmonella enterica subsp. enterica serovar Ty
08ab93d53b381b3b34d9264d5f5004a1,card,sul1,99.3,100.0,1,NZ_CP107474.1,OH522_RS27075,sulfonamide-resistant dihydropteroate synthase Sul1,IS6,c,c,gb|AEJ33969.1|ARO:3000410|sul1 [Vibrio fluvialis] 
08b0efda86db57f2134f71d62b0ca7f8,card,cmlA1,99.5,100.0,2,NZ_CP117035.1,PQP07_RS25835,CmlA family chloramphenicol efflux MFS transporter,IS6,c,c,gb|AAA26057.1|ARO:3002693|cmlA1 [Pseudomonas aeruginosa] 
08b7f9daaff50960370b4fc23ec3fe7f,card,linG,98.8,95.2,2,NZ_CP115012.1,O8I25_RS27330,lincosamide nucleotidyltransferase Lnu(F),IS6,c,c,gb|ABG65740.1|ARO:3002879|linG [Salmonella enterica subsp. enterica serovar Stan
08c2e2c93e69569f04df159d68696075,card,vanY_in_vanA_cl,99.3,100.0,1,NZ_CP012464.1,AL020_RS15830,VanY-A/VanY-F/VanY-M family D-Ala-D-Ala carboxypeptidase,ISL3,p,p,gb|AAA65958.1|ARO:3002955|vanY_in_vanA_cl [Enterococcus faecium] 
08d5505a7335f62f3e65bfb369f65249,card,dfrA14,100.0,100.0,741,NZ_CP100101.1,NIL15_RS28255,trimethoprim-resistant dihydrofolate reductase DfrA14,IS6,c,c,gb|AHK10285.1|ARO:3002859|dfrA14 [Escherichia coli] 
0930437772e20fbb0028bae1fc50e336,card,aadA,96.6,100.0,1,NZ_CP122862.1,QDY31_RS23700,AadA family aminoglycoside 3''-O-nucleotidyltransferase,IS6,c,c,gb|AAO49597.1|ARO:3002601|aadA [Escherichia coli] 
096425d25cde5ba9a34e0be7f073d88b,card,Mrx,99.8,100.0,1,NZ_CP049189.1,G5C52_RS22580,phosphorylated macrolide efflux MFS transporter Mrx(A),IS6,c,c,gb|AAS13767.1|ARO:3003839|Mrx [Aeromonas hydrophila] 
0a87e0032afa7fad5b8db6abedd99ddb,card,sul2,99.6,100.0,1,NZ_CP031568.1,AXA59_RS24455,sulfonamide-resistant dihydropteroate synthase Sul2,IS6,c,c,gb|AAL59753.1|ARO:3000412|sul2 [Vibrio cholerae] 
0a8cfadda28c7d2c4a87fde9e73bb947,card,APH(3')-VIa,100.0,98.1,1,NZ_CP010351.1,EHS42_RS18105,APH(3')-VI family aminoglycoside O-phosphotransferase,IS30,c,c,gb|CAA30578.1|ARO:3002652|APH(3')-VIa [Acinetobacter baumannii] 
0ab657ca37bb529a6b2202813ea89e7d,card,mphB,100.0,100.0,1,NZ_CP133924.1,RHT74_RS25035,Mph(B) family macrolide 2'-phosphotransferase,IS1,c,c,gb|BAA12910.1|ARO:3000318|mphB [Escherichia coli] 
0ad4c226c9f8ab0976c218d54f7719a4,card,qacJ,99.1,100.0,2,NZ_CP042047.1,FP477_RS14040,quaternary ammonium compound efflux SMR transporter QacJ,IS6,c,c,gb|CAD55144.1|ARO:3007014|qacJ [Staphylococcus aureus] 
0b085ce11b20ff0b96a9871e30808d3f,card,oqxA,99.5,100.0,7,NZ_CP036178.1,EYD11_RS23915,multidrug efflux RND transporter periplasmic adaptor subunit,IS6,c,p,gb|AAP43109.1|ARO:3003922|oqxA [Escherichia coli] 
0b335c8773bb509e699398a9f1077a43,card,TEM-37,100.0,100.0,1,NZ_CP026934.1,C5F73_RS26005,inhibitor-resistant broad-spectrum class A beta-lactamase TE,IS6,c,c,gb|WP_159373457.1|ARO:3000907|TEM-37 [Escherichia coli] 
0b4f1f081a84a817af3b148463d7a14b,card,AAC6_Ie_APH2_Ia,99.8,100.0,1,NZ_CP091891.1,L5I18_RS16375,aminoglycoside O-phosphotransferase APH(2'')-Ia,IS256,c,c,gb|AAA88548.1|ARO:3002597|AAC6_Ie_APH2_Ia [Staphylococcus aureus] 
0b615010e1e6b81d7de9e8fe7da33737,card,dfrA8,100.0,100.0,24,NZ_CP038299.1,E3171_RS25805,trimethoprim-resistant dihydrofolate reductase DfrA8,IS6,c,c,gb|AHV80711.1|ARO:3002863|dfrA8 [Salmonella enterica subsp. enterica serovar Typ
0b6c23d828374cc38eb139d1b53fd35d,card,catB8,100.0,100.0,4,NZ_CP047640.1,GTK47_RS19745,type B-3 chloramphenicol O-acetyltransferase CatB8,IS4,c,c,gb|AAM92461.1|ARO:3002680|catB8 [Salmonella enterica subsp. enterica serovar Typ
0bc7eedfd2b09e87a8aaaf4fdc8754eb,card,msrE,99.8,100.0,1,NZ_CP064945.1,IYR97_RS24890,ABC-F type ribosomal protection protein Msr(E),IS6,c,c,gb|ACB05808.1|ARO:3003109|msrE [Acinetobacter baumannii] 
0bd6182010a9c3dfa8fd99e5633828f4,card,sul1,99.3,100.0,1,NZ_CP019905.1,B1200_RS27025,sulfonamide-resistant dihydropteroate synthase Sul1,IS6,c,c,gb|AEJ33969.1|ARO:3000410|sul1 [Vibrio fluvialis] 
0bde9f6fb2d8791a57ffb6c414bb1c78,card,ErmB,98.4,100.0,4,NZ_CP116567.1,PML79_RS13485,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),IS6,c,c,gb|AAF86219.1|ARO:3000375|ErmB [Enterococcus faecium] 
0bed6f59f5c2a60300021ed7b9be5d9e,card,dfrA23,100.0,100.0,14,NZ_CP027055.1,A6D68_RS29745,trimethoprim-resistant dihydrofolate reductase DfrA23,IS4,c,c,gb|CAG34233.2|ARO:3003019|dfrA23 [Salmonella enterica subsp. enterica serovar Ty
0c3c6b49126478e745061d94d8eea1c4,card,Mrx,99.8,100.0,2,NZ_CP123268.1,N4686_RS24640,phosphorylated macrolide efflux MFS transporter Mrx(A),IS6,c,c,gb|AAS13767.1|ARO:3003839|Mrx [Aeromonas hydrophila] 
0c557453954a038e54b8ea4493fb40ed,card,aadA,99.6,100.0,2,NZ_CP042630.1,FTV92_RS27735,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase Aad,IS6,c,c,gb|AAO49597.1|ARO:3002601|aadA [Escherichia coli] 
0c8326879ad8a1a1d355a46481e000ec,card,cfr(D),100.0,100.0,7,NZ_OD940439.1,KJA90_RS14445,23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(D),IS6,c,c,gb|AXY65402.1|ARO:3005021|cfr(D) [Enterococcus faecium] 
0c9983f3b17115b82dbae3f3582d9759,card,CTX-M-15,95.2,100.0,1,NZ_CP025402.1,MS8345_RS27915,class A beta-lactamase,IS6,c,c,gb|AAL02127.1|ARO:3001878|CTX-M-15 [Escherichia coli] 
0cc33ba7d2c2921c435796b09cc55e1d,card,APH(6)-Id,98.6,100.0,1,NZ_CP051665.1,HH200_RS24850,APH(6)-I family aminoglycoside O-phosphotransferase,IS6,c,c,gb|AAC23556.1|ARO:3002660|APH(6)-Id [Pseudomonas aeruginosa] 
0d2327e172ecdf5db8bf8074ea0f1c83,card,vanS_in_vanA_cl,100.0,100.0,1,NZ_LR135353.1,EQB45_RS16340,vancomycin resistance histidine kinase VanS,IS6,c,c,gb|AAA65954.1|ARO:3002931|vanS_in_vanA_cl [Enterococcus faecium] 
0d2f8d8b5244b5b9dbb9162d219c008d,card,floR,99.0,100.0,1,NZ_CP041439.1,FNP80_RS00445,chloramphenicol/florfenicol efflux MFS transporter FloR,IS6,c,p,gb|AAG16656.1|ARO:3002705|floR [Escherichia coli] 
0d61eaffec76eaf18e5e6ecf6dcc6bb8,card,tet(M),92.8,100.0,1,NZ_CP040905.1,FHK65_RS12895,tetracycline resistance ribosomal protection protein Tet(M),IS3,c,p,gb|BAB82500.1|ARO:3000186|tet(M) [Erysipelothrix rhusiopathiae] 
0dcfb2cd71b6d4b77af3237af5c5fff4,card,ErmB,98.4,100.0,5,NZ_CP098028.1,NAG05_RS15680,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),IS6,c,c,gb|AAF86219.1|ARO:3000375|ErmB [Enterococcus faecium] 
0de0a5d7197d064b26f4e8faae4f3380,card,FosA3,99.3,100.0,1,NZ_CP026589.1,C3483_RS28720,FosA3/FosA4 family fosfomycin resistance glutathione transfe,IS6,c,c,gb|AEG78825.1|ARO:3002872|FosA3 [Escherichia coli] 
0de8e25133107b97f8bd050b1e13172d,card,AAC(6')-Iq,100.0,100.0,1,NZ_CP091583.1,L5468_RS27350,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iq,IS1,p,c,gb|AAC25500.1|ARO:3002560|AAC(6')-Iq [Klebsiella pneumoniae] 
0e06879a438509326e8a2760292ca045,card,tet(M),94.4,100.0,1,NZ_CP011830.1,UB18_RS13900,tetracycline resistance ribosomal protection protein Tet(M),IS6,c,c,gb|BAB82500.1|ARO:3000186|tet(M) [Erysipelothrix rhusiopathiae] 
0e11b15ce89d19224d68127e5ae63ff4,card,APH(6)-Id,99.3,100.0,22,NZ_CP128610.1,QU238_RS24755,APH(6)-I family aminoglycoside O-phosphotransferase,IS6,c,c,gb|AAC23556.1|ARO:3002660|APH(6)-Id [Pseudomonas aeruginosa] 
0e53c2bdd08d9e723f757750ffb9e985,card,mphA,99.7,99.0,3,NZ_CP050372.1,HB637_RS27130,Mph(A) family macrolide 2'-phosphotransferase,IS6,c,c,gb|BAA03776.1|ARO:3000316|mphA [Escherichia coli] 
0e6f7161bfc1a518ff6b5222ee20066f,card,oqxA,99.7,100.0,1,NZ_CP048823.1,QE11421_RS23735,multidrug efflux RND transporter periplasmic adaptor subunit,IS1,c,c,gb|AAP43109.1|ARO:3003922|oqxA [Escherichia coli] 
0ee8de40a492c7d3734c665b0e109029,card,tet(L),95.2,100.0,2,NZ_CP116531.1,PML77_RS13935,tetracycline efflux MFS transporter Tet(L),IS6,c,c,gb|AAA22851.1|ARO:3000179|tet(L) [Geobacillus stearothermophilus] 
0f2c9bfcd5aff4409d2b3348d7577646,card,APH(3')-VIa,99.2,100.0,6,NZ_CP072292.1,J6I51_RS20710,APH(3')-VI family aminoglycoside O-phosphotransferase,IS30,c,c,gb|CAA30578.1|ARO:3002652|APH(3')-VIa [Acinetobacter baumannii] 
0f5607a31b19fea42313251c2c5c14a9,card,AAC(6')-Ib10,99.5,98.5,1,NZ_CP089428.1,A9X66_RS25950,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,IS110,c,c,gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10 [Pseudomonas aeruginosa] 
0f71db800c9cf298b62e0142a5bdac07,card,msrA,97.7,100.0,1,NZ_CP069956.1,I6K94_RS11470,ATP-binding cassette domain-containing protein,IS6,c,c,gb|CAA36304.1|ARO:3000251|msrA [Staphylococcus epidermidis] 
0f74a2d950b3d1f0ac795535f0ca78c1,card,vanH_in_vanM_cl,100.0,100.0,3,NZ_CP038997.1,E6A31_RS13930,D-lactate dehydrogenase VanH,IS200/IS605,c,c,gb|ACL82960.1|ARO:3002947|vanH_in_vanM_cl [Enterococcus faecium] 
0f9c215a37f93dc3d68c4dec5e1280bd,card,evgS,97.7,100.0,1,NZ_AP022178.1,H7R11_RS22925,acid-sensing system histidine kinase EvgS,IS3,c,p,gb|AAC75429.1|ARO:3000833|evgS [Escherichia coli str. K-12 substr. MG1655] 
0fa4981265ca31871dcf80355800cd02,card,fosA5,98.6,100.0,1,NZ_CP133855.1,RG991_RS25025,fosfomycin resistance glutathione transferase FosA10,IS4,p,c,gb|AJE60855.1|ARO:3003209|fosA5 [Escherichia coli] 
1016b83e5f03da9ffdbd8b79a8b17707,card,APH(6)-Id,99.3,100.0,4,NZ_CP047272.1,F3090_RS26940,APH(6)-I family aminoglycoside O-phosphotransferase,IS6,c,c,gb|AAC23556.1|ARO:3002660|APH(6)-Id [Pseudomonas aeruginosa] 
101c7461379e5211c40eeb3264d9ac8c,card,vanA,99.4,100.0,1,NZ_CP096222.1,M0F39_RS14825,D-alanine--(R)-lactate ligase VanA,IS6,c,c,gb|AAA65956.1|ARO:3000010|vanA [Enterococcus faecium] 
103e1b694fe60f632abd0b4a4bd6f8be,card,OXA-1041,100.0,100.0,1,NZ_CP103367.1,NYE91_RS25565,carbapenem-hydrolyzing class D beta-lactamase OXA-1041,IS91,p,p,gb|UDL18775.1|ARO:3008460|OXA-1041 [Citrobacter freundii] 
10cde955d63130b861b415c6919aeaae,card,optrA,99.5,100.0,1,NZ_CP091102.1,L1881_RS12815,ABC-F type ribosomal protection protein OptrA,IS6,c,c,gb|AKA86814.1|ARO:3003746|optrA [Enterococcus faecalis] 
10e92022075ea76781634a5d6bde01a0,card,LnuH,93.4,100.0,1,NZ_CP104212.1,NZD85_RS14655,lincosamide nucleotidyltransferase Lnu(H),IS982,c,p,gb|WP_051021433.1|ARO:3004600|LnuH [Riemerella anatipestifer RA-CH-2] 
10f3ca5670a594241d9dbb2b3311fe9a,card,Saur_mupA_MUP,99.5,100.0,1,NZ_CP026078.1,RK65_RS13985,mupirocin-resistant isoleucine--tRNA ligase MupA,IS6,c,c,gb|CAA53189.1|ARO:3000521|Saur_mupA_MUP [Staphylococcus aureus] 
111fc6d5a1f3efc54d1aa5c17109ccb9,card,vgaA,97.9,100.0,1,NZ_CP095105.1,MUA12_RS13365,Vga family ABC-F type ribosomal protection protein,IS6,c,c,gb|AAA26684.1|ARO:3002829|vgaA [Staphylococcus aureus] 
1134bccbf776c2ebea104d23c3d504dc,card,MCR-9.1,100.0,100.0,17,NZ_CP027144.1,CSC02_RS24690,phosphoethanolamine--lipid A transferase MCR-9.1,IS5,c,c,gb|WP_001572373.1|ARO:3004684|MCR-9.1 [Salmonella enterica subsp. enterica serov
114a0553e607f393af0f05adf27c6fa3,card,AAC(6')-IIa,100.0,100.0,6,NZ_AP028043.1,QUE90_RS28095,aminoglycoside N-acetyltransferase AAC(6')-IIa,IS6,c,c,gb|AAM92464.1|ARO:3002594|AAC(6')-IIa [Salmonella enterica subsp. enterica serov
1181659bfe9128d0796927415db58915,card,cmlA1,99.5,100.0,1,NZ_CP075738.1,KKZ13_RS23180,CmlA family chloramphenicol efflux MFS transporter,IS6,c,c,gb|AAA26057.1|ARO:3002693|cmlA1 [Pseudomonas aeruginosa] 
11a14165b9f48e49cb97408b9e6b17f1,card,sul2,100.0,100.0,1233,NZ_AP019539.1,QMN35_RS24385,sulfonamide-resistant dihydropteroate synthase Sul2,IS6,c,c,gb|AAL59753.1|ARO:3000412|sul2 [Vibrio cholerae] 
11d972af8b53242c038cbcc9023a73bb,card,CTX-M-55,99.3,100.0,1,NZ_CP050759.1,HEC84_RS23260,CTX-M family extended-spectrum class A beta-lactamase,IS6,c,c,gb|ABI34705.1|ARO:3001917|CTX-M-55 [Escherichia coli] 
120b907638d7b337aa51c208ff454bd1,card,FosB2,98.6,100.0,1,NZ_CP022446.1,CGZ63_RS30535,FosB/FosD family fosfomycin resistance bacillithiol transfer,IS200/IS605,p,p,gb|AAP27834.1|ARO:3005100|FosB2 [Bacillus anthracis str. Ames] 
127609620f06c73c4a78a33208c904ab,card,vanY_in_vanA_cl,99.7,100.0,1,NZ_CP040238.1,FBF65_RS16190,VanY-A/VanY-F/VanY-M family D-Ala-D-Ala carboxypeptidase,IS6,c,c,gb|AAA65958.1|ARO:3002955|vanY_in_vanA_cl [Enterococcus faecium] 
129166f978be8db0f81c83c736408595,card,aadT,97.8,100.0,2,NZ_CP038502.1,E4664_RS20415,multidrug efflux MFS transporter AadT,IS30,c,c,gb|AMD83542.1|ARO:3007669|aadT [Acinetobacter baumannii] 
12e359709058de96bfe0c822ac0bdde7,card,APH(6)-Id,99.2,100.0,1,NZ_CP089886.1,LR951_RS28275,APH(6)-I family aminoglycoside O-phosphotransferase,IS6,c,c,gb|AAC23556.1|ARO:3002660|APH(6)-Id [Pseudomonas aeruginosa] 
12f7f5607cfdf7e5f11c9533eab194a7,card,qacEdelta1,99.1,100.0,2,NZ_CP035180.1,CAK82_RS28815,quaternary ammonium compound efflux SMR transporter QacE,IS5,c,c,gb|AAC44316.1|ARO:3005010|qacEdelta1 [Pseudomonas aeruginosa] 
13174f9bf90e894b6487b948a47a17aa,card,ErmB,98.2,100.0,1,NZ_LR135346.1,EQB38_RS16985,23S ribosomal RNA methyltransferase Erm,IS6,c,c,gb|AAF86219.1|ARO:3000375|ErmB [Enterococcus faecium] 
13a6d38be82a7223815dd56dc6b91182,card,OXA-484,100.0,100.0,2,NZ_CP076530.1,KPE21_RS23920,OXA-48 family carbapenem-hydrolyzing class D beta-lactamase ,IS6,c,c,gb|ALI16502.1|ARO:3003641|OXA-484 [Klebsiella pneumoniae] 
14d7184841e79e6a3af12d39ef819fb6,card,QnrB4,99.5,100.0,1,NZ_CP044381.1,F7P05_RS25360,QnrB family quinolone resistance pentapeptide repeat protein,IS91,p,p,gb|ABC17630.3|ARO:3002718|QnrB4 [Escherichia coli] 
1522579625124ede4b399eac8c5b7681,card,vanS_in_vanA_cl,99.7,63.2,1,NZ_LT603681.1,B5434_RS16810,vancomycin resistance response regulator transcription facto,IS6,c,c,gb|AAA65954.1|ARO:3002931|vanS_in_vanA_cl [Enterococcus faecium] 
15297f1283c7e8bfae35eb95e04835b7,card,APH(6)-Id,99.3,100.0,1,NZ_CP089208.1,LT311_RS24420,APH(6)-I family aminoglycoside O-phosphotransferase,IS6,c,c,gb|AAC23556.1|ARO:3002660|APH(6)-Id [Pseudomonas aeruginosa] 
15a64e5fdbc95545ec10596557e48506,card,sul1,100.0,98.9,1,NZ_CP014498.1,AVR69_RS31155,dihydropteroate synthase,IS6,c,c,gb|AEJ33969.1|ARO:3000410|sul1 [Vibrio fluvialis] 
15ff5677b0211fdf4914f5ba2280f416,card,Mrx,100.0,100.0,1,NZ_CP082955.1,K8I78_RS27725,MFS transporter,IS6,c,c,gb|AAS13767.1|ARO:3003839|Mrx [Aeromonas hydrophila] 
1656b523fe411776aa29c02373dd3030,card,TEM-169,99.7,100.0,1,NZ_CP024864.1,AM342_RS27435,TEM family class A beta-lactamase,new,p,p,gb|ACP18864.1|ARO:3001035|TEM-169 [Salmonella enterica subsp. enterica serovar I
1675d4e44c6ba62c5470e9d1bcf5990a,card,mphA,99.3,100.0,1,NZ_CP053232.1,HHJ44_RS24260,Mph(A) family macrolide 2'-phosphotransferase,IS6,c,c,gb|BAA03776.1|ARO:3000316|mphA [Escherichia coli] 
16a45caf7dbe33cfdb47908b03832098,card,tet(X3),100.0,100.0,16,NZ_CP060813.1,IAQ69_RS16495,tetracycline-inactivating monooxygenase Tet(X3),IS91,p,p,gb|QBQ85438.1|ARO:3004719|tet(X3) [Acinetobacter baumannii] 
16cd31eda542e10cc8bdc2a9dd4a9009,card,floR,99.3,100.0,35,NZ_CP121067.1,P8I09_RS24395,chloramphenicol/florfenicol efflux MFS transporter FloR,IS6,c,c,gb|AAG16656.1|ARO:3002705|floR [Escherichia coli] 
174afb4fcfc9171296f8d6003095ecb8,card,AAC(3)-IId,100.0,100.0,566,NZ_CP022533.1,MS7884_RS24565,aminoglycoside N-acetyltransferase AAC(3)-IId,IS6,c,c,gb|ABS70977.1|ARO:3004623|AAC(3)-IId [Escherichia coli] 
17971792ea585f186cdccbd96d686905,card,oqxA,99.7,100.0,1,NZ_CP050759.1,HEC84_RS23240,multidrug efflux RND transporter periplasmic adaptor subunit,IS6,c,c,gb|AAP43109.1|ARO:3003922|oqxA [Escherichia coli] 
180b45c59321812d4237d27d2195d4ca,card,AAC(3)-IId,99.7,100.0,2,NZ_CP079764.1,KYE76_RS26130,aminoglycoside N-acetyltransferase AAC(3)-IId,IS6,c,c,gb|ABS70977.1|ARO:3004623|AAC(3)-IId [Escherichia coli] 
